inchikey1	num_of_stereo_conf	smiles_can	smiles_iso
MJYJYRUSRDBHGO	4	CC1=C(C(=CC=C1)C)NC(=O)COC(=O)C2CC(=O)N(C2)C(C)C3=CC=CC=C3	CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@@H]2CC(=O)N(C2)[C@@H](C)C3=CC=CC=C3,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@H]2CC(=O)N(C2)[C@@H](C)C3=CC=CC=C3,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@H]2CC(=O)N(C2)[C@H](C)C3=CC=CC=C3,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@@H]2CC(=O)N(C2)[C@H](C)C3=CC=CC=C3
TWJQZVQNZDQDHV	4	COC1=CC=CC(=C1)C=CC(=O)N2CCCC(C2)C(=O)O	COC1=CC=CC(=C1)/C=C/C(=O)N2CCC[C@H](C2)C(=O)O,COC1=CC=CC(=C1)/C=C/C(=O)N2CCC[C@@H](C2)C(=O)O,COC1=CC=CC(=C1)/C=C/C(=O)N2CCCC(C2)C(=O)O,COC1=CC=CC(=C1)C=CC(=O)N2CCCC(C2)C(=O)O
IEJPCNQNQHXZNG	4	C1C(C(C(OC1(C(=O)O)O)O)O)O	C1C(C(C(OC1(C(=O)O)O)O)O)O,C1[C@@H]([C@H]([C@H](O[C@@]1(C(=O)O)O)O)O)O,C1C(C([C@@H](OC1(C(=O)O)O)O)O)O,C1[C@H](C([C@@H](OC1(C(=O)O)O)O)O)O
WOGDAAPNOVKWJT	4	CCN1C=CC=C1C(=CCCN2CCCC(C2)C(=O)O)C3=CC=CC=C3	CCN1C=CC=C1C(=CCCN2CCC[C@H](C2)C(=O)O)C3=CC=CC=C3,CCN1C=CC=C1C(=CCCN2CCCC(C2)C(=O)O)C3=CC=CC=C3,CCN1C=CC=C1/C(=C/CCN2CCC[C@H](C2)C(=O)O)/C3=CC=CC=C3,CCN1C=CC=C1/C(=C/CCN2CCCC(C2)C(=O)O)/C3=CC=CC=C3
NTJLQGQXAXJSBS	4	CCC(C)C(C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	CC[C@H](C)[C@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC[C@@H](C)[C@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC[C@H](C)[C@@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC[C@@H](C)[C@@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
XWFZNWNGKWPCIP	4	CC1COCCN1C(=O)C2CCCC2C(=O)O	CC1COCCN1C(=O)C2CCCC2C(=O)O,CC1COCCN1C(=O)[C@@H]2CCC[C@@H]2C(=O)O,C[C@@H]1COCCN1C(=O)[C@@H]2CCC[C@@H]2C(=O)O,C[C@@H]1COCCN1C(=O)C2CCCC2C(=O)O
JDXYUTWNVLYVBQ	4	CCC1C(N1C)C	CCC1C(N1C)C,CC[C@@H]1[C@@H](N1C)C,CCC1[C@H](N1C)C,CCC1[C@@H](N1C)C
MNOLFWMZLYRGTE	4	C(C1C(C(C(C(O1)OC2C(C(OC(C2O)OCC3C(C(C(O3)(CO)O)O)O)CO)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@@H]([C@@H]2O)OC[C@@H]3[C@H]([C@@H](C(O3)(CO)O)O)O)CO)O)O)O)O)O,C([C@@H]1[C@@H](C(C(O1)(CO)O)O)O)O[C@H]2C([C@H]([C@H](C(O2)CO)O)O[C@H]3C([C@H]([C@H](C(O3)CO)O)O)O)O,C([C@@H]1[C@@H](C([C@](O1)(CO)O)O)O)O[C@@H]2C([C@H]([C@@H](C(O2)CO)O)O[C@H]3C([C@H]([C@H](C(O3)CO)O)O)O)O,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@@H]([C@@H]2O)OC[C@@H]3[C@H]([C@@H]([C@](O3)(CO)O)O)O)CO)O)O)O)O)O
ZLVWGGKFPHDGDQ	4	CC1(C2CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O	C[C@]1([C@@H]2CC[C@@]3(C1[C@@H]([C@]45C3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O,C[C@]1([C@H]2CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O,C[C@]1([C@H]2CC[C@@]3(C1[C@@H]([C@]45C3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O,C[C@]1([C@@H]2CC[C@@]3(C1C([C@]45C3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O
HCPLNUKWBUGHCG	4	CCCCC1(CCCC2(C13CC(CC2)C(O3)(C)C)C)O	CCCCC1(CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C)O,CCCC[C@]1(CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C)O,CCCC[C@@]1(CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C)O,CCCC[C@]1(CCC[C@]2(C13CC(CC2)C(O3)(C)C)C)O
