accession	inchikey1	model	ionization
AC01111385	UJYGDMFEEDNVBF	0	positive
AC01530346	GYSCAQFHASJXRS	0	positive
AC02449922	RANGFOQREJPKIH	0	positive
AC04820076	DDULCZLFAKVKJB	0	positive
AC05228135	NESVMZOPWPCFAU	0	positive
AC05894154	UQCSETXJXJTMKO	0	positive
AC06673648	OQIQSTLJSLGHID	0	positive
AC07159006	BEJNERDRQOWKJM	0	positive
AC07174100	ITXQTTPWGBFRNK	0	positive
AC07193091	OQIQSTLJSLGHID	0	positive
AC07331115	RWQKHEORZBHNRI	0	positive
AC07742317	DWTTZBARDOXEAM	0	positive
AC07777138	CEBXXEKPIIDJHL	0	positive
AC08161453	MUACSCLQRGEGOE	0	positive
AC08693160	QFKRKMXPKBHGGO	0	positive
AC09459598	GBDGOAVPCDIMFE	0	positive
AC11296739	OUMWCYMRLMEZJH	0	positive
AC11446538	XWIYFDMXXLINPU	0	positive
AC12358989	ZAXZBJSXSOISTF	0	positive
AC13479080	MIZMDSVSLSIMSC	0	positive
AC13669275	DDUHZTYCFQRHIY	0	positive
AC15837123	GYSCAQFHASJXRS	0	positive
AC15909794	SOHAVULMGIITDH	0	positive
AC16100217	MBMQEIFVQACCCH	6	positive
AC16689461	HEFIYUQVAZFDEE	0	positive
AC16823035	UVBUBMSSQKOIBE	0	positive
AC17865014	HWSQVPGTQUYLEQ	0	positive
AC19003858	MJBWDEQAUQTVKK	0	positive
AC19565407	QSRVMXWVVMILDI	0	positive
AC19641945	PUZSUVGRVHEUQO	0	positive
AC19918297	GLWYBXPXOSKQAW	0	positive
AC21373543	GJSSYQDXZLZOLR	0	positive
AC21513458	YTVPBUCDNKECDB	0	positive
AC21896320	LINOMUASTDIRTM	0	positive
AC22288944	PNKLMTPXERFKEN	0	positive
AC22532876	RIZAHVBYKWUPHQ	0	positive
AC23877897	TVZHDVCTOCZDNE	0	positive
AC23945419	VFMQMACUYWGDOJ	0	positive
AC24669996	SZINUGQCTHLQAZ	0	positive
AC24684647	WPCVRWVBBXIRMA	0	positive
AC25010572	UXDPXZQHTDAXOZ	2	positive
AC25958538	HNMWDXUKPJZOQD	0	positive
AC26614941	IQVNREJWRXOHEO	0	positive
AC27664613	GTONGKBINDTWOM	0	positive
AC28554257	NNCYWYKIMLRIRQ	0	positive
