accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AC47040593	AC_003	AC000130,AC000131,AC000132,AC000133,AC000134	271.0595	[M+H]+	3220	3.8199999999999994
AC37165523	AC_003	AC000888,AC000889,AC000890,AC000891,AC000892	180.1014	[M+H]+	3442	2.53
AC07159006	AC_003	AC000690,AC000691,AC000692,AC000693,AC000694	143.0333	[M+H]+	3840	1.55
AC77837615	AC_003	AC000342,AC000343,AC000344,AC000345,AC000346	582.2705	[M+H]+	8223	2.7
AC33039916	AC_003	AC000229,AC000230,AC000231,AC000232	183.0282	[M+H]+	20501	2.29
AC85199698	AC_003	AC000791,AC000792,AC000793,AC000794,AC000795	370.128	[M+H]+	20966	3.35
AC97054718	AC_003	AC000001,AC000002,AC000003,AC000004,AC000005	179.0697	[M+H]+	28516	3.44
AC58931296	AC_003	AC000503,AC000504,AC000505,AC000506,AC000507	337.0912	[M+H]+	30839	2.59
AC16689461	AC_003	AC000352,AC000353,AC000354,AC000355,AC000356	610.3018	[M+H]+	31116	2.78
AC83080544	AC_003	AC000175,AC000176,AC000177,AC000178,AC000179	439.1382	[M+H]+	34059	3.5799999999999996
AC33793556	AC_003	AC000180,AC000181,AC000182,AC000183,AC000184	461.1201	[M+Na]+	34059	3.5799999999999996
AC47663723	AC_003	AC000055,AC000056,AC000057,AC000058,AC000059	293.1014	[M+H]+	34687	2.88
AC21896320	AC_003	AC000110,AC000111,AC000112,AC000113,AC000114	297.1327	[M+H]+	40024	2.3
AC81323334	AC_003	AC000857,AC000858,AC000859,AC000860,AC000861	391.2474	[M+H]+	64715	3.7299999999999995
AC19565407	AC_003	AC000273,AC000274,AC000275,AC000276,AC000277	238.0857	[M+H]+	67206	3.3899999999999997
AC58852624	AC_003	AC000705,AC000706,AC000707,AC000708	273.0752	[M+H]+	72537	2.52
AC46435536	AC_003	AC000293,AC000294,AC000295,AC000296,AC000297	562.3018	[M+H]+	73453	2.74
AC01111385	AC_003	AC000298,AC000299,AC000300,AC000301,AC000302	584.2838	[M+Na]+	73453	2.74
AC62359370	AC_003	AC000066,AC000067,AC000068,AC000069,AC000070	337.0912	[M+H]+	89644	2.52
AC55676563	AC_003	AC000120,AC000121,AC000122,AC000123,AC000124	367.1746	[M+H]+	91518	3.05
AC43510560	AC_003	AC000125,AC000126,AC000127,AC000128,AC000129	389.1565	[M+Na]+	91518	3.05
AC62905724	AC_003	AC000540,AC000541,AC000542,AC000543,AC000544	535.1593	[M+H]+	91617	3.63
AC34511416	AC_003	AC000700,AC000701,AC000702,AC000703,AC000704	571.0865	[M+H]+	99586	3.6800000000000006
AC32588866	AC_003	AC000327,AC000328,AC000329,AC000330,AC000331	534.2705	[M+H]+	104843	2.58
AC05228135	AC_003	AC000332,AC000333,AC000334,AC000335,AC000336	548.2862	[M+H]+	105137	2.66
AC92898733	AC_003	AC000847,AC000848,AC000849,AC000850,AC000851	254.0806	[M+H]+	115033	2.98
AC98876347	AC_003	AC000095,AC000096,AC000097,AC000098,AC000099	239.2	[M+H]+	115285	3.53
AC21513458	AC_003	AC000695,AC000696,AC000697,AC000698,AC000699	295.1535	[M+H]+	122734	4.04
