accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AU51150706	AU_000	AU230657,AU230658,AU230659,AU230660,AU230662	321.0051	[M-H]-	298	5.6822
AU25484481	AU_000	AU238262	137.0244	[M-H]-	338	3.637
AU41352026	AU_000	AU229857,AU229858	138.0197	[M-H]-	980	5.614
AU78003396	AU_000	AU230257,AU230258,AU230259	183.00470000000004	[M-H]-	1493	4.422999999999999
AU75552317	AU_000	AU229357,AU229358,AU229359,AU229360,AU229362	223.09890000000001	[M-H]-	1530	7.2508
AU39536390	AU_000	AU228110,AU228111,AU228112,AU228157,AU228158,AU228159	335.1976	[M-H]-	1978	4.979666666666667
AU04668131	AU_000	AU311151	182.0046	[M-H]-	1982	2.927
AU15244497	AU_000	AU231057,AU231058,AU231059,AU231060	194.0611	[M-H]-	2015	6.9425
AU63333544	AU_000	AU231357,AU231358,AU231359,AU231360,AU325851,AU325852,AU325853,AU325854	239.04960000000003	[M-H]-	2328	4.3035
AU22021892	AU_000	AU234957,AU234958,AU234959,AU234960	429.0538	[M-H]-	2375	8.57075
AU23267067	AU_000	AU213751,AU213752,AU213753,AU213754,AU213755	439.15240000000006	[M-H]-	2541	4.6818
AU57871279	AU_000	AU235657,AU235658,AU235659,AU235660	380.0686	[M-H]-	2662	10.25325
AU59623983	AU_000	AU158351,AU158352,AU158353,AU158354	313.2173	[M-H]-	2978	13.8345
AU52780268	AU_000	AU234657,AU234658,AU234659,AU234660	294.0094	[M-H]-	3033	8.68375
AU93432075	AU_000	AU237557,AU237558,AU237559,AU237560,AU237562	266.9985	[M-H]-	3037	10.4982
AU54681026	AU_000	AU241257,AU241258,AU241259,AU241260,AU241262,AU341051,AU341052,AU341053,AU341054	231.0097	[M-H]-	3120	8.493555555555556
AU79537565	AU_000	AU235757,AU235758,AU235759,AU235760	314.0201	[M-H]-	3203	10.637749999999999
AU00703972	AU_000	AU241357,AU241358,AU241359,AU241360,AU241362,AU346451,AU346452,AU346453,AU346454,AU346455	434.93140000000005	[M-H]-	3352	10.4492
AU83571638	AU_000	AU227610,AU227612,AU227657,AU227658,AU227659	413.13050000000004	[M-H]-	3356	6.7368
AU10952067	AU_000	AU235257,AU235258,AU235259,AU235260	305.0968	[M-H]-	3365	5.0865
AU12907468	AU_000	AU235057,AU235058,AU235059,AU235060	275.0649	[M-H]-	3397	9.43425
AU92738217	AU_000	AU235557,AU235558,AU235559,AU235560	489.2177	[M-H]-	3476	9.75125
AU07940697	AU_000	AU235457,AU235458,AU235459,AU235460	492.1365	[M-H]-	3488	9.370750000000001
AU30870738	AU_000	AU234557	205.1234	[M-H]-	3672	9.031
AU13994007	AU_000	AU209451,AU209452,AU209453,AU209454,AU209455	427.2252	[M-H]-	3749	8.543200000000002
AU51625988	AU_000	AU228010,AU228011,AU228012,AU228057,AU228058,AU228059	421.1549	[M-H]-	3961	7.990000000000001
AU80889433	AU_000	AU235157,AU235158,AU235159,AU235160	240.103	[M-H]-	4044	9.3215
AU51555747	AU_000	AU227957,AU227958	267.0906	[M-H]-	4235	6.8835
AU11307243	AU_000	AU230957,AU230958,AU230959,AU230960,AU230962	359.1249	[M-H]-	4507	9.7624
AU94806105	AU_000	AU228610,AU228612,AU228657,AU228658,AU228659	287.0393	[M-H]-	4540	8.5184
AU36818380	AU_000	AU227410,AU227411,AU227412,AU227457,AU227458,AU227459	382.0679	[M-H]-	4679	7.376166666666666
AU08466360	AU_000	AU406851,AU406852,AU406856	172.9914	[M-H]-	4765	1.3
AU33755973	AU_000	AU235857,AU235858,AU235859,AU235860	355.1122	[M-H]-	4829	9.29525
AU01922591	AU_000	AU234257,AU234258	423.2388	[M-H]-	4889	7.125500000000001
AU27181835	AU_000	AU233157,AU233158,AU233159,AU233160	215.9988	[M-H]-	4933	9.36225
