accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
AU21360752	AU_002	AU510701	131.1291	[M+H]+	199	C5H14N4	4.318
AU34747242	AU_002	AU230601,AU230602,AU230603,AU230604,AU230605,AU230606	323.0196	[M+H]+	298	C11H12Cl2N2O5	5.732
AU99609657	AU_002	AU222801,AU222802,AU222803,AU222804,AU222805	149.1073	[M+H]+	412	C9H12N2	2.6799999999999997
AU27992902	AU_002	AU270301,AU270302,AU270303,AU270304,AU270305,AU270306	240.115	[M+H]+	444	C13H18ClNO	5.578
AU33225129	AU_002	AU277306	114.0662	[M+H]+	588	C4H7N3O	1.26
AU28001426	AU_002	AU279601,AU279603,AU279604,AU279605,AU279606	176.0706	[M+H]+	802	C10H9NO2	5.747
AU12450407	AU_002	AU510901	122.0964	[M+H]+	1001	C8H11N	3.816
AU66616209	AU_002	AU156006	150.1277	[M+H]+	1206	C10H15N	4.346
AU82500813	AU_002	AU265101,AU265102,AU265103,AU265104,AU265105,AU265106	231.1016	[M+H]+	1302	C14H14O3	9.118666666666666
AU82642998	AU_002	AU229301,AU229302,AU229303,AU229304,AU229305,AU229306	225.11349999999996	[M+H]+	1530	C13H12N4	5.706666666666667
AU81721809	AU_002	AU171206	194.1176	[M+H]+	1615	C11H15NO2	4.346
AU93289095	AU_002	AU279206	85.0509	[M+H]+	1639	C2H4N4	1.345
AU18874729	AU_002	AU279501,AU279503,AU279504,AU279505,AU279506	192.0655	[M+H]+	1826	C10H9NO3	3.8936
AU69644377	AU_002	AU228101,AU228102,AU228103,AU228104,AU228105,AU228106	337.2122	[M+H]+	1978	C18H28N2O4	4.660166666666666
AU75826125	AU_002	AU215101,AU215102,AU215103,AU215104,AU215105	416.08949999999993	[M+H]+	1981	C21H18ClNO6	9.8774
AU14718735	AU_002	AU215131,AU215132,AU215133	438.0715	[M+Na]+	1981	C21H18ClNO6	9.240666666666668
AU52724723	AU_002	AU311101,AU311102,AU311103,AU311104,AU311105	184.0192	[M+H]+	1982	C4H10NO3PS	2.9517999999999995
AU41924781	AU_002	AU276701,AU276702,AU276703,AU276706	152.0706	[M+H]+	1983	C8H9NO2	3.4202500000000002
AU62959622	AU_002	AU322101,AU322102,AU322103,AU322104,AU322105,AU322106	270.12550000000005	[M+H]+	1988	C14H20ClNO2	10.151166666666667
AU02243295	AU_002	AU231001,AU231002,AU231003,AU231004,AU231005,AU231006	196.0757	[M+H]+	2015	C13H9NO	6.995
AU88371586	AU_002	AU322501,AU322502,AU322503,AU322504,AU322505	270.1255	[M+H]+	2078	C14H20ClNO2	10.2
AU57955107	AU_002	AU105801,AU105802,AU105803	266.0958	[M+H]+	2082	C12H15N3O2S	9.378
AU42531864	AU_002	AU157006	309.0902	[M+H]+	2118	C17H13ClN4	8.396
AU42242940	AU_002	AU267001,AU267002,AU267003,AU267004,AU267005,AU267006	152.1434	[M+H]+	2130	C10H17N	4.703
AU25153419	AU_002	AU251102,AU251104	376.9859	[M+H]+	2132	C13H18Br2N2O	12.652999999999999
AU05134974	AU_002	AU111401,AU111402,AU111403,AU111404	181.072	[M+H]+	2153	C7H8N4O2	3.886
AU86900918	AU_002	AU273301,AU273302,AU273303,AU273304,AU273305,AU273306	646.031	[M+H]+	2157	C25H29I2NO3	11.8605
AU89855312	AU_002	AU214201,AU214202,AU214203,AU214204,AU214205	370.1795	[M+H]+	2159	C17H27N3O4S	3.9
AU77888974	AU_002	AU150401,AU150402,AU150403,AU150404,AU150405,AU150406	278.1903	[M+H]+	2160	C20H23N	8.096499999999999
AU66139432	AU_002	AU154406	409.1525	[M+H]+	2162	C20H25ClN2O5	8.589
AU59982255	AU_002	AU275001,AU275002,AU275003,AU275004,AU275005,AU275006	294.1713	[M+H]+	2187	C17H19N5	4.907666666666667
AU08004750	AU_002	AU227301,AU227302,AU227303,AU227304,AU227305,AU227306,AU265201,AU265202,AU265203,AU265204,AU265205,AU265206	189.1022	[M+H]+	2206	C11H12N2O	4.706583333333334
AU34555843	AU_002	AU110602,AU110603,AU110604,AU110605	267.1703	[M+H]+	2249	C14H22N2O3	3.0749999999999997
AU64040352	AU_002	AU310901,AU310902,AU310903,AU310904,AU310905,AU310906	216.10100000000003	[M+H]+	2256	C8H14ClN5	8.0275
AU65885773	AU_002	AU273401,AU273402,AU273403,AU273404,AU273405,AU273406	382.1680999999999	[M+H]+	2267	C22H24ClN3O	7.4750000000000005
