accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
BS49488926	BS_000	BS003128	137.025	[M-H]-	338	C7H6O3	4.95
BS23954673	BS_000	BS003956,BS003958,BS003959	287.0591666666666	[M-H]-	662	C15H12O6	5.830000000000001
BS23737491	BS_000	BS001075,BS001076,BS001077	255.23270000000002	[M-H]-	985	C16H32O2	31.36
BS48128477	BS_000	BS003869,BS003871	171.13875000000002	[M-H]-	2969	C10H20O2	19.59
BS56376152	BS_000	BS003929,BS003931,BS003932	283.2652	[M-H]-	5281	C18H36O2	32.86
BS84536563	BS_000	BS003883,BS003884	185.15485	[M-H]-	8180	C11H22O2	21.89
BS81281913	BS_000	BS003886,BS003887,BS003888,BS003890	339.3268	[M-H]-	8215	C22H44O2	34.37
BS43589895	BS_000	BS003126	167.0353	[M-H]-	8468	C8H8O4	2.58
BS48173824	BS_000	BS003264,BS003265	137.0238	[M-H]-	8768	C7H6O3	1.09
BS71310701	BS_000	BS003014,BS003016	289.07405	[M-H]-	9064	C15H14O6	2.021516666666667
BS61435341	BS_000	BS003907,BS003908,BS003910,BS003911	269.249325	[M-H]-	10465	C17H34O2	32.26
BS21626358	BS_000	BS003858,BS003859,BS003862	609.1845333333332	[M-H]-	10621	C28H34O15	7.080000000000001
BS70574160	BS_000	BS003876,BS003877,BS003878	227.20206666666664	[M-H]-	11005	C14H28O2	28.029999999999998
BS48996311	BS_000	BS003925,BS003926,BS003928	367.35926666666666	[M-H]-	11197	C24H48O2	35.22
BS25944697	BS_000	BS003023,BS003024,BS003025	237.0552	[M-H]-	11349	C15H10O3	16.54
BS37920355	BS_000	BS003881,BS003882	213.18745	[M-H]-	12530	C13H26O2	26.13
BS22703860	BS_000	BS003872,BS003873,BS003874	241.21703333333335	[M-H]-	13849	C15H30O2	29.850000000000005
BS84731308	BS_000	BS003790,BS003791,BS003794,BS003795,BS003796,BS003797	821.39395	[M-H]-	14982	C42H62O16	15.379999999999997
BS19722455	BS_000	BS003933,BS003934,BS003935,BS003936	325.31275	[M-H]-	16898	C21H42O2	34.04
BS74507574	BS_000	BS003913,BS003914,BS003915	353.3422	[M-H]-	17085	C23H46O2	34.769999999999996
BS17901474	BS_000	BS003656,BS003657,BS003658	611.209	[M-H]-	30231	C28H36O15	8.95
BS60394921	BS_000	BS003169,BS003170,BS003171,BS003172,BS003173	455.35189999999994	[M-H]-	64945	C30H48O3	28.23
BS86557994	BS_000	BS003798,BS003799,BS003800,BS003801,BS003802	501.32	[M-H]-	65048	C30H46O6	19.13
BS45282967	BS_000	BS003896,BS003897,BS003899,BS003900,BS003901	457.08128	[M-H]-	65064	C22H18O11	2.89
BS22583792	BS_000	BS003107	151.043	[M-H]-	69687	C8H8O3	6.21
BS04158964	BS_000	BS003424,BS003426	289.07214999999997	[M-H]-	72276	C15H14O6	2.92
BS53331788	BS_000	BS003949,BS003950,BS003952	305.0674	[M-H]-	72277	C15H14O7	1.72
BS82235531	BS_000	BS003017,BS003018	237.05815	[M-H]-	72279	C15H10O3	12.466333333333333
BS37748493	BS_000	BS003470,BS003471,BS003473,BS003474	301.072	[M-H]-	72281	C16H14O6	10.389999999999999
BS22034837	BS_000	BS003239	471.3573	[M-H]-	73299	C30H48O4	22.39
BS17739337	BS_000	BS003787,BS003788,BS003789	301.07236666666665	[M-H]-	73635	C16H14O6	9.94
BS25631060	BS_000	BS003118	167.036	[M-H]-	75787	C8H8O4	5.33
BS66204972	BS_000	BS003592,BS003593	269.04575	[M-H]-	88281	C15H10O5	11.76
BS47625941	BS_000	BS003518,BS003519,BS003521,BS003522	299.092075	[M-H]-	91144	C17H16O5	13.26
BS42683974	BS_000	BS003510,BS003512,BS003513,BS003514,BS003516	595.16868	[M-H]-	114627	C27H32O15	5.510000000000001
BS88702177	BS_000	BS003364	255.0685	[M-H]-	114829	C15H12O4	7.430000000000001
BS91722404	BS_000	BS003937,BS003939,BS003940,BS003941	577.136975	[M-H]-	122738	C30H26O12	2.54
BS54572238	BS_000	BS003077,BS003078,BS003081	407.1856666666666	[M-H]-	124035	C25H28O5	24.01
BS79794616	BS_000	BS003524,BS003525,BS003527,BS003528	253.05045	[M-H]-	145726	C15H10O4	9.22
BS12255966	BS_000	BS003552,BS003554,BS003555	285.07766666666663	[M-H]-	160481	C16H14O5	13.97
BS28671044	BS_000	BS003639,BS003640,BS003641,BS003642,BS003643	343.08203999999995	[M-H]-	160921	C18H16O7	14.7
BS43344003	BS_000	BS003111,BS003113	237.055	[M-H]-	161860	C15H10O3	12.68
BS63158943	BS_000	BS003346,BS003347,BS003349	255.06623333333332	[M-H]-	162933	C15H12O4	8.23
