accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
EA46493313	EA_000	EA020251,EA020264	229.087	[M-H]-	1302	C14H14O3	10.0
EA57038809	EA_000	EA026751,EA026764	218.9621	[M-H]-	1486	C8H6Cl2O3	9.1
EA38285222	EA_000	EA024351,EA024364	150.0561	[M-H]-	1983	C8H9NO2	2.2
EA32034312	EA_000	EA285151,EA285164	238.1449	[M-H]-	2083	C13H21NO3	2.1
EA15832433	EA_000	EA285251,EA285264	368.165	[M-H]-	2159	C17H27N3O4S	3.8
EA51661990	EA_000	EA025351,EA025364	239.0496	[M-H]-	2328	C10H12N2O3S	7.4
EA44423593	EA_000	EA280451,EA280464	439.1524	[M-H]-	2541	C24H20N6O3	9.3
EA28118716	EA_000	EA277251,EA277264	387.1481	[M-H]-	2678	C21H25ClN2O3	9.2
EA21459467	EA_000	EA020451	213.0324	[M-H]-	2797	C10H11ClO3	10.1
EA40803696	EA_000	EA027551,EA027564	218.9621	[M-H]-	3030	C8H6Cl2O3	7.1
EA20503826	EA_000	EA020151,EA020164	294.0094	[M-H]-	3033	C14H11Cl2NO2	12.8
EA94723910	EA_000	EA029251,EA029264	231.0097	[M-H]-	3120	C9H10Cl2N2O	9.0
EA22961357	EA_000	EA266651,EA266664	434.9314	[M-H]-	3352	C12H4Cl2F6N4OS	12.7
EA01961035	EA_000	EA032851,EA032864	305.0968	[M-H]-	3365	C13H12F2N6O	5.2
EA94546703	EA_000	EA260051,EA260064	329.0004	[M-H]-	3440	C12H11ClN2O5S	6.6
EA73856272	EA_000	EA261051,EA261064	295.9572	[M-H]-	3639	C7H8ClN3O4S2	2.2
EA59680006	EA_000	EA020751,EA020764	356.0695	[M-H]-	3715	C19H16ClNO4	12.8
EA35721841	EA_000	EA277451,EA277464	427.2252	[M-H]-	3749	C25H28N6O	9.3
EA79614082	EA_000	EA020551,EA020564	253.087	[M-H]-	3825	C16H14O3	9.6
EA04662798	EA_000	EA020851,EA020864	240.103	[M-H]-	4044	C15H15NO2	14.6
EA61544290	EA_000	EA274351,EA274364	285.0436	[M-H]-	4616	C15H11ClN2O2	8.9
EA22341362	EA_000	EA064451,EA064464	382.0679	[M-H]-	4679	C16H15F2N3O4S	6.6
EA15367245	EA_000	EA281651,EA281664	181.9917	[M-H]-	5143	C7H5NO3S	2.5
EA19906047	EA_000	EA017051,EA017064	271.1122	[M-H]-	5253	C12H20N2O3S	1.6
EA46975138	EA_000	EA018351,EA018364	309.0663	[M-H]-	5323	C12H14N4O4S	5.7
EA73324090	EA_000	EA029851,EA029864	252.0448	[M-H]-	5329	C10H11N3O3S	4.5
EA00054903	EA_000	EA018551,EA018564	254.0063	[M-H]-	5340	C9H9N3O2S2	2.8
EA01611483	EA_000	EA025751,EA025764	239.0673	[M-H]-	6950	C10H12N2O5	13.0
EA75977064	EA_000	EA030851,EA030864	213.0324	[M-H]-	7153	C10H11ClO3	10.8
EA98933335	EA_000	EA026151,EA026164	199.0167	[M-H]-	7204	C9H9ClO3	9.5
EA39673697	EA_000	EA271051,EA271064	227.048	[M-H]-	7207	C11H13ClO3	11.9
EA92302902	EA_000	EA016651,EA016664	118.0411	[M-H]-	7220	C6H5N3	4.4
EA59306405	EA_000	EA281351,EA281364	178.0543	[M-H]-	7533	C6H13NO3S	3.4
EA20811710	EA_000	EA298851	312.9708	[M-H]-	7547	C13H9Cl3N2O	14.7
EA25571733	EA_000	EA065351	207.0121	[M-H]-	8420	C10H8O3S	5.3
EA66134220	EA_000	EA027051,EA027064	232.9778	[M-H]-	8427	C9H8Cl2O3	10.7
EA54810476	EA_000	EA065251	172.0074	[M-H]-	8479	C6H7NO3S	0.9
EA61634800	EA_000	EA016751,EA016764	132.0567	[M-H]-	8705	C7H7N3	5.8
EA55972913	EA_000	EA016151,EA016164	197.0487	[M-H]-	8800	C9H11ClN2O	6.8
