accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
EA86862027	EA_001	EA026752,EA026753,EA026754,EA026755,EA026756,EA026757,EA026758,EA026759,EA026760,EA026761,EA026762,EA026763	218.96210000000005	[M-H]-	1486	9.099999999999998
EA97786163	EA_001	EA024352,EA024353,EA024354,EA024355,EA024356,EA024357,EA024358,EA024359,EA024360,EA024361,EA024362	150.0561	[M-H]-	1983	2.1999999999999997
EA31363208	EA_001	EA285152,EA285153,EA285154,EA285155,EA285156,EA285158,EA285159,EA285160,EA285161,EA285162	238.14490000000006	[M-H]-	2083	2.1000000000000005
EA90833809	EA_001	EA285252,EA285253,EA285254,EA285255,EA285256,EA285258,EA285259,EA285260	368.165	[M-H]-	2159	3.8
EA11699563	EA_001	EA025352,EA025353,EA025354,EA025355,EA025356,EA025357,EA025358,EA025359,EA025360,EA025361,EA025362,EA025363	239.04959999999997	[M-H]-	2328	7.400000000000002
EA85236759	EA_001	EA280452,EA280453,EA280454,EA280455,EA280456,EA280457,EA280458,EA280459,EA280460,EA280461,EA280462,EA280463	439.1524	[M-H]-	2541	9.299999999999999
EA45161283	EA_001	EA277252,EA277253,EA277254,EA277258,EA277259,EA277260	387.14809999999994	[M-H]-	2678	9.200000000000001
EA58400685	EA_001	EA020452,EA020453,EA020454,EA020455,EA020456,EA020457,EA020458,EA020459,EA020460,EA020461,EA020462,EA020463	213.03240000000002	[M-H]-	2797	10.099999999999998
EA19557137	EA_001	EA027555,EA027558,EA027561	218.9621	[M-H]-	3030	7.099999999999999
EA26255478	EA_001	EA020152,EA020153,EA020154,EA020155,EA020156,EA020158,EA020159,EA020160,EA020161,EA020162,EA020163	294.00939999999997	[M-H]-	3033	12.8
EA79265306	EA_001	EA029252,EA029253,EA029254,EA029255,EA029256,EA029257,EA029258,EA029259,EA029260,EA029261,EA029262,EA029263	231.00970000000004	[M-H]-	3120	9.0
EA53965637	EA_001	EA266652,EA266653,EA266654,EA266655,EA266656,EA266657,EA266658,EA266659,EA266660,EA266661,EA266662,EA266663	434.9314000000001	[M-H]-	3352	12.699999999999998
EA56306748	EA_001	EA032852,EA032853,EA032854,EA032855,EA032856,EA032857,EA032858,EA032859,EA032860,EA032861,EA032862,EA032863	305.0967999999999	[M-H]-	3365	5.200000000000001
EA20057082	EA_001	EA256652,EA256653,EA256654,EA256655,EA256656,EA256657,EA256658,EA256659,EA256660,EA256661,EA256662,EA256663	129.01060000000004	[M-H]-	3385	1.0
EA48440554	EA_001	EA260052,EA260053,EA260054,EA260055,EA260056,EA260057,EA260058,EA260059,EA260060,EA260061,EA260062,EA260063	329.00039999999996	[M-H]-	3440	6.599999999999999
EA63351879	EA_001	EA261052,EA261053,EA261054,EA261055,EA261056,EA261057,EA261058,EA261059,EA261060,EA261061,EA261062,EA261063	295.95719999999994	[M-H]-	3639	2.1999999999999997
EA57467517	EA_001	EA020752,EA020753,EA020754,EA020755,EA020756,EA020757,EA020758,EA020759,EA020760,EA020761,EA020762	356.0695	[M-H]-	3715	12.8
EA98145019	EA_001	EA277452,EA277453,EA277454,EA277455,EA277456,EA277457,EA277458,EA277459,EA277460,EA277461,EA277462,EA277463	427.2251999999999	[M-H]-	3749	9.299999999999999
EA24433148	EA_001	EA020552,EA020553,EA020558,EA020559	253.087	[M-H]-	3825	9.6
EA79228322	EA_001	EA020852,EA020853,EA020854,EA020855,EA020856,EA020857,EA020858,EA020859,EA020860,EA020861,EA020862,EA020863	240.10300000000004	[M-H]-	4044	14.6
EA79389542	EA_001	EA274352,EA274353,EA274354,EA274356,EA274358,EA274359,EA274360,EA274361,EA274362	285.0436	[M-H]-	4616	8.9
EA80986426	EA_001	EA064452,EA064453,EA064454,EA064455,EA064456,EA064457,EA064458,EA064459,EA064460,EA064461,EA064462,EA064463	382.0679	[M-H]-	4679	6.599999999999999
EA71696729	EA_001	EA281652,EA281653,EA281654,EA281655,EA281656,EA281657,EA281658,EA281659,EA281660,EA281661,EA281662,EA281663	181.9917	[M-H]-	5143	2.5
EA20859573	EA_001	EA017052,EA017053,EA017054,EA017058,EA017059,EA017060	271.1122	[M-H]-	5253	1.5999999999999999
EA65514698	EA_001	EA018352,EA018353,EA018354,EA018355,EA018356,EA018357,EA018358,EA018359,EA018360,EA018361,EA018362,EA018363	309.0663	[M-H]-	5323	5.7
EA23480475	EA_001	EA029852,EA029853,EA029854,EA029855,EA029856,EA029858,EA029859,EA029860,EA029861	252.04480000000007	[M-H]-	5329	4.5
EA76579656	EA_001	EA018552,EA018553,EA018554,EA018555,EA018556,EA018557,EA018558,EA018559,EA018560,EA018561,EA018562,EA018563	254.0063	[M-H]-	5340	2.8000000000000003
EA63333323	EA_001	EA025752,EA025753,EA025754,EA025755,EA025756,EA025757,EA025758,EA025759,EA025760,EA025761,EA025762,EA025763	239.06730000000002	[M-H]-	6950	13.0
EA12764665	EA_001	EA030852,EA030853,EA030854,EA030855,EA030856,EA030857,EA030858,EA030859,EA030860,EA030861,EA030862,EA030863	213.03240000000002	[M-H]-	7153	10.799999999999999
EA67301705	EA_001	EA026152,EA026153,EA026154,EA026155,EA026156,EA026157,EA026158,EA026159,EA026160,EA026161,EA026162,EA026163	199.0167	[M-H]-	7204	9.5
EA54500362	EA_001	EA271052,EA271053,EA271054,EA271055,EA271056,EA271058,EA271059,EA271060	227.048	[M-H]-	7207	11.9
EA41845321	EA_001	EA016652,EA016653,EA016654,EA016655,EA016656,EA016657,EA016658,EA016659,EA016660,EA016661,EA016662,EA016663	118.04109999999999	[M-H]-	7220	4.3999999999999995
EA18746581	EA_001	EA281352,EA281353,EA281354,EA281355,EA281356,EA281357,EA281358,EA281359,EA281360,EA281361,EA281362,EA281363	178.0543	[M-H]-	7533	3.4
EA82426569	EA_001	EA298859	312.9708	[M-H]-	7547	14.7
EA71283868	EA_001	EA065352,EA065353,EA065354,EA065355,EA065356,EA065357,EA065358,EA065359,EA065360,EA065361,EA065362,EA065363	207.01209999999995	[M-H]-	8420	5.299999999999999
EA87681525	EA_001	EA027052,EA027053,EA027054,EA027055,EA027056,EA027057,EA027058,EA027059,EA027060,EA027061,EA027062,EA027063	232.9778000000001	[M-H]-	8427	10.700000000000001
EA91769453	EA_001	EA065252,EA065253,EA065254,EA065255,EA065256,EA065257,EA065258,EA065259,EA065260,EA065261,EA065262,EA065263	172.0074	[M-H]-	8479	0.9
EA16597371	EA_001	EA016752,EA016753,EA016754,EA016755,EA016756,EA016757,EA016758,EA016759,EA016760,EA016761,EA016762,EA016763	132.05670000000003	[M-H]-	8705	5.8
EA28017408	EA_001	EA016152,EA016153,EA016154,EA016155,EA016158,EA016159,EA016160,EA016161	197.04870000000003	[M-H]-	8800	6.8
EA75305662	EA_001	EA026652,EA026653,EA026654,EA026655,EA026656,EA026657,EA026658,EA026659,EA026660,EA026661,EA026662,EA026663	259.0088	[M-H]-	9411	7.0
EA00328201	EA_001	EA271752,EA271753,EA271754,EA271757,EA271758,EA271759,EA271760	412.96640000000014	[M-H]-	9554	12.599999999999998
EA71558228	EA_001	EA272052,EA272053,EA272058	512.96	[M-H]-	9555	15.199999999999998
EA63847870	EA_001	EA271352,EA271353,EA271357,EA271358,EA271359,EA271360	212.9792	[M-H]-	9777	5.1000000000000005
EA06334356	EA_001	EA013852,EA013853,EA013854,EA013855,EA013856,EA013857,EA013858,EA013859,EA013860,EA013861,EA013862,EA013863	132.05670000000003	[M-H]-	13624	2.6000000000000005
EA16929146	EA_001	EA008752,EA008753,EA008754,EA008755,EA008756,EA008757,EA008758,EA008759,EA008760,EA008761,EA008762,EA008763	369.8231	[M-H]-	15530	9.299999999999999
EA24766724	EA_001	EA002452,EA002453,EA002454,EA002455,EA002456,EA002457,EA002458,EA002459,EA002460,EA002461,EA002462,EA002463	273.85089999999997	[M-H]-	15531	8.299999999999999
EA07028527	EA_001	EA008852,EA008853,EA008854,EA008855,EA008856,EA008857,EA008858,EA008859,EA008860,EA008861,EA008862,EA008863	220.02829999999997	[M-H]-	15546	5.200000000000001
EA94260587	EA_001	EA028952,EA028953,EA028954,EA028955,EA028956,EA028958,EA028959,EA028960,EA028961,EA028962	202.9784	[M-H]-	16854	8.5
EA90184569	EA_001	EA030152,EA030153,EA030154,EA030158,EA030159	150.0019	[M-H]-	17520	5.1
EA56278375	EA_001	EA292153,EA292158,EA292159,EA292160	583.983	[M-H]-	18134	16.9
EA67637764	EA_001	EA015652,EA015653,EA015654,EA015655,EA015658,EA015659,EA015660,EA015661	229.0289	[M-H]-	18752	2.4
EA89379984	EA_001	EA029452,EA029453,EA029454,EA029455,EA029456,EA029457,EA029458,EA029459,EA029460,EA029461,EA029462,EA029463	216.99409999999992	[M-H]-	19113	8.799999999999999
EA66493823	EA_001	EA032652,EA032653,EA032654,EA032655,EA032656,EA032657,EA032658,EA032659,EA032660,EA032661,EA032662,EA032663	213.05569999999992	[M-H]-	19539	11.1
EA07015182	EA_001	EA270452,EA270453,EA270454,EA270455,EA270458,EA270459,EA270460,EA270461	195.9129	[M-H]-	23017	9.7
EA31456669	EA_001	EA013652,EA013653,EA013654,EA013655,EA013658,EA013659,EA013660,EA013661	235.1088	[M-H]-	27689	6.5
EA90849922	EA_001	EA275652,EA275653,EA275654,EA275655,EA275656,EA275657,EA275658,EA275659,EA275660,EA275661,EA275662,EA275663	161.98669999999998	[M-H]-	36573	1.5
