accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
EQ20400033	EQ_001	EQ329951,EQ329952,EQ329953,EQ329954,EQ329955,EQ329956	152.0717	[M-H]-	681	0.9
EQ70824097	EQ_001	EQ331951,EQ331952,EQ331953,EQ331954,EQ331955,EQ331956	251.08259999999999	[M-H]-	1775	7.6000000000000005
EQ70647988	EQ_001	EQ312251,EQ312252,EQ312253,EQ312254,EQ312255,EQ312256	414.075	[M-H]-	1981	12.799999999999999
EQ75167753	EQ_001	EQ301151,EQ301152,EQ301153,EQ301154,EQ301155,EQ301156	220.9809	[M-H]-	1986	2.4
EQ78439674	EQ_001	EQ285351,EQ285352,EQ285353,EQ285354,EQ285355,EQ285356	256.0939	[M-H]-	2327	0.7999999999999999
EQ91234086	EQ_001	EQ332251,EQ332252,EQ332253,EQ332254,EQ332255,EQ332256	222.1136	[M-H]-	2466	8.4
EQ99064064	EQ_001	EQ301551,EQ301552,EQ301553,EQ301554,EQ301555,EQ301556	378.2398	[M-H]-	2663	5.5
EQ98381573	EQ_001	EQ301451,EQ301452,EQ301453,EQ301454,EQ301455,EQ301456	346.0867	[M-H]-	2666	4.3999999999999995
EQ80298289	EQ_001	EQ313451,EQ313452,EQ313453,EQ313454,EQ313455,EQ313456	337.0055	[M-H]-	2732	5.3999999999999995
EQ48690015	EQ_001	EQ304751,EQ304752,EQ304753,EQ304754,EQ304755,EQ304756	218.93859999999998	[M-H]-	3039	7.1000000000000005
EQ89133978	EQ_001	EQ329351,EQ329352,EQ329353,EQ329354,EQ329355,EQ329356	450.1783	[M-H]-	3157	7.2
EQ23148586	EQ_001	EQ330851,EQ330852,EQ330853,EQ330854,EQ330855,EQ330856	286.1449	[M-H]-	3308	12.5
EQ99857714	EQ_001	EQ301951,EQ301952,EQ301953,EQ301954,EQ301955,EQ301956	500.2806	[M-H]-	3348	8.200000000000001
EQ56562574	EQ_001	EQ302051,EQ302052,EQ302053,EQ302054,EQ302055,EQ302056	413.13050000000004	[M-H]-	3356	6.6000000000000005
EQ53494426	EQ_001	EQ312151,EQ312152,EQ312153,EQ312154,EQ312155,EQ312156	128.0266	[M-H]-	3366	0.9
EQ10097273	EQ_001	EQ302151,EQ302152,EQ302153,EQ302154,EQ302155,EQ302156	280.0591	[M-H]-	3371	14.5
EQ88982754	EQ_001	EQ307151,EQ307152,EQ307153,EQ307154,EQ307155,EQ307156	249.1496	[M-H]-	3463	14.9
EQ07724841	EQ_001	EQ313851,EQ313852,EQ313853,EQ313854,EQ313855,EQ313856	319.0047	[M-H]-	3958	9.0
EQ86392039	EQ_001	EQ332051,EQ332052,EQ332053,EQ332054,EQ332055,EQ332056	324.9787999999999	[M-H]-	4477	15.6
EQ42349987	EQ_001	EQ306651,EQ306652,EQ306653,EQ306654,EQ306655,EQ306656	126.99559999999998	[M-H]-	4684	7.3
EQ11766578	EQ_001	EQ328651,EQ328652,EQ328653,EQ328654,EQ328655,EQ328656	355.1122	[M-H]-	4829	6.0
EQ55000049	EQ_001	EQ305151,EQ305152,EQ305153,EQ305154,EQ305155,EQ305156	215.9988	[M-H]-	4933	10.299999999999999
EQ10607736	EQ_001	EQ302751,EQ302752,EQ302753,EQ302754,EQ302755,EQ302756	340.1336999999999	[M-H]-	5355	1.7
EQ60467338	EQ_001	EQ302851,EQ302852,EQ302853,EQ302854,EQ302855,EQ302856	327.1384	[M-H]-	5467	2.6
EQ81265992	EQ_001	EQ302951,EQ302952,EQ302953	262.0463	[M-H]-	5472	15.5
EQ37539869	EQ_001	EQ313251,EQ313252,EQ313253,EQ313254,EQ313255,EQ313256	211.01829999999998	[M-H]-	5734	4.3
EQ32647912	EQ_001	EQ332551,EQ332552,EQ332553,EQ332554,EQ332555,EQ332556	182.0823	[M-H]-	5816	0.7999999999999999
EQ76214242	EQ_001	EQ324351,EQ324355,EQ324356	357.17069999999995	[M-H]-	5865	7.5
EQ09797734	EQ_001	EQ307051,EQ307052,EQ307053,EQ307054,EQ307055,EQ307056	321.0051	[M-H]-	5959	5.8
EQ24877783	EQ_001	EQ303851,EQ303852,EQ303853,EQ303854,EQ303855,EQ303856	200.0717	[M-H]-	6129	5.3999999999999995
EQ92798183	EQ_001	EQ309751,EQ309752,EQ309753,EQ309754,EQ309755,EQ309756	290.0823	[M-H]-	8594	7.3
EQ33839022	EQ_001	EQ309451,EQ309452,EQ309453,EQ309454	225.0557	[M-H]-	10087	6.3
