accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
EQ37835332	EQ_004	EQ329901,EQ329902,EQ329903,EQ329904,EQ329905,EQ329906	154.08629999999997	[M+H]+	681	C8H11NO2	0.9
EQ83965723	EQ_004	EQ311501,EQ311502,EQ311503,EQ311504,EQ311505,EQ311506	292.04030000000006	[M+H]+	991	C10H14NO5PS	12.6
EQ54107331	EQ_004	EQ331901,EQ331902,EQ331903,EQ331904,EQ331905,EQ331906	253.09719999999996	[M+H]+	1775	C15H12N2O2	7.6000000000000005
EQ92342135	EQ_004	EQ312201,EQ312202,EQ312203,EQ312204,EQ312205,EQ312206	416.0895	[M+H]+	1981	C21H18ClNO6	12.9
EQ61563691	EQ_004	EQ301101,EQ301102,EQ301103,EQ301104,EQ301105,EQ301106	222.9954	[M+H]+	1986	C4H6N4O3S2	2.5
EQ28889996	EQ_004	EQ312401,EQ312402,EQ312403,EQ312404,EQ312405,EQ312406	152.1434	[M+H]+	2130	C10H17N	4.6000000000000005
EQ48816071	EQ_004	EQ306701,EQ306702,EQ306703,EQ306704,EQ306705,EQ306706	646.031	[M+H]+	2157	C25H29I2NO3	14.4
EQ64538764	EQ_004	EQ329601,EQ329602,EQ329603,EQ329604,EQ329605,EQ329606	310.2165	[M+H]+	2326	C21H27NO	8.799999999999999
EQ40837761	EQ_004	EQ285301,EQ285303,EQ285304,EQ285306	258.1084	[M+H]+	2327	C10H15N3O5	0.8
EQ25089497	EQ_004	EQ301301,EQ301302,EQ301303,EQ301304,EQ301305,EQ301306	326.2326	[M+H]+	2405	C18H31NO4	6.1000000000000005
EQ73765083	EQ_004	EQ332201,EQ332202,EQ332203,EQ332204,EQ332205,EQ332206	224.1281	[M+H]+	2466	C12H17NO3	8.4
EQ22375871	EQ_004	EQ306801,EQ306802,EQ306803,EQ306804,EQ306805,EQ306806	308.1856	[M+H]+	2467	C17H25NO4	4.8
EQ31299646	EQ_004	EQ330501,EQ330502,EQ330503,EQ330504,EQ330505,EQ330506	289.2274	[M+H]+	2474	C18H28N2O	6.2
EQ90470483	EQ_004	EQ304001,EQ304002,EQ304003,EQ304004,EQ304005,EQ304006	222.11249999999998	[M+H]+	2566	C12H15NO3	7.2
EQ94885893	EQ_004	EQ332701,EQ332702,EQ332703,EQ332704,EQ332705,EQ332706	261.1809	[M+H]+	2576	C12H24N2O4	8.799999999999999
EQ25621472	EQ_004	EQ301501,EQ301502,EQ301503,EQ301504,EQ301505,EQ301506	380.2544	[M+H]+	2663	C20H33N3O4	5.6000000000000005
EQ97669671	EQ_004	EQ301401,EQ301402,EQ301403,EQ301404,EQ301405,EQ301406	348.1013	[M+H]+	2666	C16H17N3O4S	4.3999999999999995
EQ14525429	EQ_004	EQ313401,EQ313402,EQ313403,EQ313404,EQ313405,EQ313406	339.0201	[M+H]+	2732	C14H11ClN2O4S	5.6000000000000005
EQ68926871	EQ_004	EQ329401,EQ329402,EQ329403,EQ329404,EQ329405,EQ329406	344.23329999999993	[M+H]+	3025	C20H29N3O2	8.6
EQ09791672	EQ_004	EQ304701,EQ304702,EQ304703,EQ304704,EQ304705,EQ304706	220.9532	[M+H]+	3039	C4H7Cl2O4P	7.3999999999999995
EQ98178113	EQ_004	EQ301701,EQ301702,EQ301703,EQ301704,EQ301705,EQ301706	415.1686	[M+H]+	3076	C22H26N2O4S	7.3
EQ02508409	EQ_004	EQ329301,EQ329302,EQ329303,EQ329304,EQ329305,EQ329306	452.1928	[M+H]+	3157	C23H25N5O5	7.2
EQ75669017	EQ_004	EQ301801,EQ301802,EQ301803,EQ301804,EQ301805,EQ301806	271.1805	[M+H]+	3162	C17H22N2O	3.6999999999999997
EQ62150926	EQ_004	EQ330701,EQ330702,EQ330703,EQ330704,EQ330705,EQ330706	237.1598	[M+H]+	3169	C13H20N2O2	2.9
EQ55221522	EQ_004	EQ307801,EQ307802,EQ307803,EQ307804,EQ307805,EQ307806	321.1357	[M+H]+	3229	C15H17FN4O3	4.2
EQ79662983	EQ_004	EQ306501,EQ306502,EQ306503,EQ306504,EQ306505,EQ306506	297.1849	[M+H]+	3285	C20H24O2	10.4
EQ32719849	EQ_004	EQ330801,EQ330802,EQ330803,EQ330804,EQ330805,EQ330806	288.1594	[M+H]+	3308	C17H21NO3	12.5
EQ56002546	EQ_004	EQ301901,EQ301902,EQ301903,EQ301904,EQ301905,EQ301906	502.2952	[M+H]+	3348	C32H39NO4	8.200000000000001
EQ40108888	EQ_004	EQ302001,EQ302002,EQ302003,EQ302004,EQ302005,EQ302006	415.1451	[M+H]+	3356	C17H20F6N2O3	6.7
EQ71047800	EQ_004	EQ312101,EQ312102,EQ312103,EQ312104,EQ312105,EQ312106	130.0411	[M+H]+	3366	C4H4FN3O	0.9
EQ52363696	EQ_004	EQ302101,EQ302102,EQ302103,EQ302104,EQ302105,EQ302106	282.0736	[M+H]+	3371	C14H10F3NO2	14.6
EQ02275137	EQ_004	EQ307101,EQ307102,EQ307103,EQ307104,EQ307105,EQ307106	251.16419999999997	[M+H]+	3463	C15H22O3	14.9
EQ86080279	EQ_004	EQ315501,EQ315502,EQ315503,EQ315504,EQ315505,EQ315506	129.1022	[M+H]+	3772	C6H12N2O	0.7999999999999999
EQ29665996	EQ_004	EQ313801,EQ313802,EQ313803,EQ313804,EQ313805,EQ313806	321.0192	[M+H]+	3958	C15H10Cl2N2O2	8.9
EQ21385299	EQ_004	EQ331701,EQ331702,EQ331703,EQ331704,EQ331705,EQ331706	278.1903	[M+H]+	4011	C20H23N	8.5
EQ16277186	EQ_004	EQ308401,EQ308402,EQ308403,EQ308404,EQ308405,EQ308406	391.1936	[M+H]+	4034	C25H27ClN2	11.299999999999999
EQ71809460	EQ_004	EQ302201,EQ302202,EQ302203,EQ302204,EQ302205,EQ302206	271.0997	[M+H]+	4041	C16H15ClN2	6.5
EQ89492056	EQ_004	EQ333101,EQ333102,EQ333103,EQ333104,EQ333105,EQ333106	248.1645	[M+H]+	4058	C15H21NO2	5.3999999999999995
EQ29091479	EQ_004	EQ312601,EQ312602,EQ312603,EQ312604,EQ312605,EQ312606	247.18049999999997	[M+H]+	4062	C15H22N2O	4.5
EQ72188704	EQ_004	EQ301001,EQ301002,EQ301003,EQ301004,EQ301005,EQ301006	180.1383	[M+H]+	4178	C11H17NO	5.7
