accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
ET52310044	ET_002	ET050201,ET050202,ET050203,ET050204,ET050205,ET050206	150.1277	[M+H]+	1206	9.6
ET99785692	ET_002	ET130001,ET130002,ET130003,ET130004,ET130005	197.084	[M+H]+	1355	11.4
ET31835463	ET_002	ET010001,ET010002,ET010003,ET010004,ET010005	301.1466	[M+H]+	2710	14.6
ET36168005	ET_002	ET060001,ET060002,ET060003,ET060004,ET060005	232.1308	[M+H]+	3337	12.7
ET50815687	ET_002	ET070001,ET070002,ET070003,ET070004,ET070005	310.1413	[M+H]+	3386	14.8
ET97300467	ET_002	ET080001,ET080002,ET080003,ET080004,ET080005	235.1805	[M+H]+	3676	10.4
ET08612427	ET_002	ET090001,ET090002,ET090003,ET090004,ET090005	180.1383	[M+H]+	4178	12.3
ET95702970	ET_002	ET140001,ET140002,ET140003,ET140004,ET140005	160.1121	[M+H]+	4688	8.6
ET57865314	ET_002	ET150001,ET150002,ET150003,ET150004,ET150005	241.1699	[M+H]+	4761	9.9
ET11994847	ET_002	ET160001,ET160002,ET160003,ET160004,ET160005	260.1757	[M+H]+	4908	13.2
ET53730651	ET_002	ET170001,ET170002,ET170003,ET170004,ET170005	286.1914	[M+H]+	4992	11.7
ET21681345	ET_002	ET050001,ET050002,ET050003,ET050004,ET050005	188.1434	[M+H]+	5195	10.3
ET70792671	ET_002	ET190001,ET190002,ET190003,ET190004,ET190005	278.2115	[M+H]+	5656	12.8
ET80273884	ET_002	ET160301	175.0866	[M+H]+	7023	12.2
ET19155532	ET_002	ET030001,ET030002,ET030003,ET030004,ET030005	287.131	[M+H]+	9340	14.8
ET87648825	ET_002	ET060101,ET060102,ET060103,ET060104,ET060105	204.0995	[M+H]+	15897	12.4
ET44611546	ET_002	ET080201,ET080202,ET080203,ET080204,ET080205	207.1492	[M+H]+	24415	9.8
ET61772893	ET_002	ET040201	142.0418	[M+H]+	70272	14.6
ET08894776	ET_002	ET180001,ET180002,ET180003,ET180004,ET180005	298.2741	[M+H]+	86160	15.5
ET38414684	ET_002	ET171103	166.1339	[M+H]+	90273	2.8
ET66540470	ET_002	ET140301,ET140302,ET140303,ET140304,ET140305,ET140306	146.0964	[M+H]+	99277	8.299999999999999
ET51098026	ET_002	ET190101,ET190102,ET190103,ET190104,ET190105	264.1958	[M+H]+	125017	11.0
ET77050921	ET_002	ET170101,ET170102,ET170103,ET170104,ET170105,ET170106	302.1863	[M+H]+	127200	11.1
ET10628714	ET_002	ET040001,ET040002,ET040003,ET040004,ET040005	156.0575	[M+H]+	136530	17.6
ET13164322	ET_002	ET170201,ET170202,ET170203,ET170204,ET170205,ET170206	272.1757	[M+H]+	153224	11.0
ET67760736	ET_002	ET160401	302.1863	[M+H]+	157027	17.1
ET12106465	ET_002	ET110001,ET110002,ET110003,ET110004,ET110005	227.1543	[M+H]+	161283	9.9
ET03981036	ET_002	ET050801,ET050802,ET050803,ET050804,ET050805,ET050806	178.1226	[M+H]+	170705	15.299999999999999
ET19592372	ET_002	ET140101,ET140102,ET140103,ET140104,ET140105	176.107	[M+H]+	173313	9.3
