accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
KW39540059	KW_000	KW107901,KW107902,KW107903,KW107904	195.0877	[M+H]+	2519	C8H10N4O2	5.873
KW63358096	KW_000	KW107301,KW107302,KW107303,KW107304	253.0972	[M+H]+	2555	C15H12N2O2	12.085
KW63887662	KW_000	KW108402,KW108403,KW108404	222.11250000000004	[M+H]+	2566	C12H15NO3	15.351999999999999
KW19653130	KW_000	KW103102,KW103103,KW103104,KW104802,KW104803,KW104804	242.28420000000003	[M+H]+	3094	C16H35N	23.953500000000002
KW58164584	KW_000	KW104101,KW104102,KW104103,KW104104	436.946	[M+H]+	3352	C12H4Cl2F6N4OS	25.63
KW85817262	KW_000	KW107401,KW107402,KW107403,KW107404	429.2397	[M+H]+	3749	C25H28N6O	16.137
KW71263070	KW_000	KW108201,KW108202,KW108203,KW108204	284.1412	[M+H]+	4169	C15H22ClNO2	23.265
KW47592941	KW_000	KW108001,KW108002,KW108003,KW108004	268.1907	[M+H]+	4171	C15H25NO3	8.915
KW19172338	KW_000	KW108301,KW108302,KW108303,KW108304	287.0582	[M+H]+	4616	C15H11ClN2O2	15.688
KW45044969	KW_000	KW108601,KW108602,KW108603,KW108604	251.0373	[M+H]+	6626	C12H10O4S	11.889
KW48135062	KW_000	KW106202,KW106203,KW106204	269.1648	[M+H]+	6828	C17H20N2O	23.996
KW97796099	KW_000	KW106801,KW106802,KW106803,KW106804	251.0025	[M+H]+	7034	C13H8Cl2O	28.332
KW80278180	KW_000	KW104301,KW104302,KW104303,KW104304	138.0913	[M+H]+	7203	C8H11NO	5.03
KW60751882	KW_000	KW107802,KW107803,KW107804	120.05559999999998	[M+H]+	7220	C6H5N3	7.124
KW82053940	KW_000	KW101202,KW101203,KW101204	272.222	[M+H]+	7348	C15H29NO3	26.193
KW00728717	KW_000	KW100702,KW100703,KW100704	212.1182	[M+H]+	7594	C13H13N3	7.592
KW79063638	KW_000	KW106601,KW106602,KW106603,KW106604	163.0754	[M+H]+	7644	C10H10O2	20.119
KW71186381	KW_000	KW103801,KW103802,KW103803,KW103804	259.1904	[M+H]+	7784	C14H26O4	28.446
KW15838249	KW_000	KW104702,KW104703,KW104704	242.28419999999997	[M+H]+	7791	C16H35N	21.132
KW62816759	KW_000	KW108902,KW108903,KW108904,KW109401,KW109402,KW109403,KW109404	179.1278	[M+H]+	8189	C8H18O4	5.643571428571428
KW30475408	KW_000	KW103201,KW103202,KW103203,KW103204	284.9612	[M+H]+	8295	C6H12Cl3O4P	16.204
KW66056326	KW_000	KW100201,KW100202,KW100203,KW100204	138.0913	[M+H]+	8445	C8H11NO	5.153
KW55776056	KW_000	KW102501,KW102502,KW102503,KW102504	138.0913	[M+H]+	9076	C8H11NO	4.809
KW06112537	KW_000	KW108101,KW108102,KW108103,KW108104	279.0933	[M+H]+	13097	C18H15OP	17.809
KW52828769	KW_000	KW100401,KW100402,KW100403,KW100404	160.0757	[M+H]+	13224	C10H9NO	4.017
KW54614540	KW_000	KW105501,KW105502,KW105503,KW105504	253.1434	[M+H]+	16949	C14H20O4	14.532
KW02276520	KW_000	KW100601,KW100602,KW100603,KW100604	202.1802	[M+H]+	17083	C11H23NO2	9.922
KW82744445	KW_000	KW105802,KW105803,KW105804	152.0165	[M+H]+	17520	C7H5NOS	8.294
KW12216435	KW_000	KW109102,KW109103,KW109104	170.1176	[M+H]+	17888	C9H15NO2	6.765
KW78675807	KW_000	KW100801,KW100802,KW100803,KW100804	214.0896	[M+H]+	19241	C10H15NO2S	18.653
KW07713204	KW_000	KW107101,KW107102,KW107103,KW107104	419.1754	[M+H]+	31416	C28H22N2O2	41.673
KW62271605	KW_000	KW102602,KW102603,KW102604	178.159	[M+H]+	32484	C12H19N	20.357
KW81797799	KW_000	KW101602,KW101603,KW101604	163.0754	[M+H]+	35459	C10H10O2	10.264
KW49913156	KW_000	KW108701,KW108702,KW108703,KW108704	257.1747	[M+H]+	41270	C14H24O4	26.137
KW05050314	KW_000	KW100302,KW100303,KW100304	154.1226	[M+H]+	47457	C9H15NO	11.36
KW53060439	KW_000	KW106301,KW106302,KW106303,KW106304	289.1547	[M+H]+	54744	C16H20N2O3	11.605
KW66142807	KW_000	KW107501,KW107502,KW107503,KW107504	436.2343	[M+H]+	60846	C24H29N5O3	20.12
KW07230625	KW_000	KW101302,KW101303,KW101304	282.2791	[M+H]+	61899	C18H35NO	16.727
KW64679048	KW_000	KW101002,KW101003,KW101004	246.1237	[M+H]+	65743	C13H15N3O2	5.902
KW13980462	KW_000	KW105101,KW105102,KW105103,KW105104	203.1278	[M+H]+	70213	C10H18O4	19.416
KW50440213	KW_000	KW106001,KW106002,KW106003,KW106004	234.0583	[M+H]+	74296	C12H11NO2S	18.83
KW76019490	KW_000	KW105401,KW105402,KW105403,KW105404	241.1434	[M+H]+	76664	C13H20O4	25.698
KW48595970	KW_000	KW100902,KW100903,KW100904	234.0583	[M+H]+	77956	C12H11NO2S	17.855
KW24873222	KW_000	KW101401,KW101402,KW101403,KW101404	308.1524	[M+H]+	86102	C16H22ClN3O	22.159
KW88683999	KW_000	KW101102,KW101103,KW101104	254.1434	[M+H]+	91590	C11H19N5S	16.447
KW13557822	KW_000	KW105701,KW105702,KW105703,KW105704	326.0518	[M+H]+	91759	C12H9F2N5O2S	11.526
KW35785582	KW_000	KW107001,KW107002,KW107003,KW107004	321.206	[M+H]+	98143	C19H28O4	32.567
KW47845281	KW_000	KW100102,KW100103,KW100104	134.0713	[M+H]+	122499	C7H7N3	9.604
KW58991074	KW_000	KW105902,KW105903,KW105904	220.0968	[M+H]+	1482373	C12H13NO3	10.496
KW98229863	KW_000	KW104401,KW104402,KW104403,KW104404	198.1852	[M+H]+	3033871	C12H23NO	21.872
KW03603253	KW_000	KW109302,KW109303,KW109304	245.0476	[M+H]+	3653116	C13H9ClN2O	17.891
KW67744642	KW_000	KW109201,KW109202,KW109203,KW109204	217.0242	[M+H]+	5064774	C8H6F2N2OS	11.894
KW14997760	KW_000	KW108501,KW108502,KW108503,KW108504	388.131	[M+H]+	5463781	C21H22ClNO4	19.725
KW84582355	KW_000	KW104901,KW104902,KW104903,KW104904	315.1955	[M+H]+	7076399	C20H26O3	23.221
KW50705149	KW_000	KW101501,KW101502,KW101503,KW101504	312.1165	[M+H]+	10403199	C17H17N3OS	21.602
