accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
LQB1609702	LQB_000	LQB00098,LQB00484	792.5735	[M+CH3COOH-H]-	6138	9.791304
LQB0484724	LQB_000	LQB00082,LQB00468	736.5105	[M+CH3COOH-H]-	26197	8.466309
LQB4733431	LQB_000	LQB00172,LQB00558	690.5115	[M-H]-	65109	9.916547
LQB9242585	LQB_000	LQB00237,LQB00623	721.4993	[M-H]-	65144	8.578336
LQB0220518	LQB_000	LQB00327,LQB00713	734.4984	[M-H]-	181664	8.56761
LQB4122680	LQB_000	LQB00175,LQB00561	716.5241	[M-H]-	5282290	10.02496
LQB7088006	LQB_000	LQB00241,LQB00627	747.5143	[M-H]-	5282293	8.64695
LQB8404790	LQB_000	LQB00029,LQB00415	596.5243	[M+CH3COOH-H]-	5353456	9.784235
LQB6913833	LQB_000	LQB00357,LQB00358,LQB00743,LQB00744	789.6102000000001	[M+CH3COOH-H]-	5353953	9.762830000000001
LQB0152490	LQB_000	LQB00047,LQB00433	708.6473	[M+CH3COOH-H]-	5789754	13.31004
LQB7483759	LQB_000	LQB00037,LQB00038,LQB00039,LQB00423,LQB00424,LQB00425	652.5855	[M+CH3COOH-H]-	6064609	12.256603333333333
LQB0196962	LQB_000	LQB00028,LQB00414	568.4925	[M+CH3COOH-H]-	6292012	9.011998
LQB8986771	LQB_000	LQB00032,LQB00033,LQB00418,LQB00419	624.5545999999999	[M+CH3COOH-H]-	6372196	10.808875
LQB7884909	LQB_000	LQB00176,LQB00562	714.5043	[M-H]-	6426727	9.478446
LQB1019377	LQB_000	LQB00206,LQB00592	790.538	[M-H]-	6426737	10.13184
LQB7393238	LQB_000	LQB00184,LQB00570	762.5019	[M-H]-	6426738	9.323308
LQB3117023	LQB_000	LQB00104,LQB00490	818.5911	[M+CH3COOH-H]-	6436017	9.861574
LQB2931365	LQB_000	LQB00131,LQB00517	846.6244	[M+CH3COOH-H]-	6436018	10.91542
LQB7433999	LQB_000	LQB00144,LQB00530	844.6078	[M+CH3COOH-H]-	6437081	9.988627
LQB7140694	LQB_000	LQB00208,LQB00594	742.5376	[M-H]-	6437392	10.1563
LQB0574494	LQB_000	LQB00105,LQB00106,LQB00491,LQB00492	816.5750499999999	[M+CH3COOH-H]-	6438359	9.3260295
LQB0020998	LQB_000	LQB00154,LQB00540	840.5739	[M+CH3COOH-H]-	6440944	8.960792
LQB0189480	LQB_000	LQB00054,LQB00440	594.5065	[M+CH3COOH-H]-	6442454	9.130492
LQB1881575	LQB_000	LQB00099,LQB00485	790.5581	[M+CH3COOH-H]-	6443090	9.167537
LQB6024177	LQB_000	LQB00219,LQB00605	738.5031	[M-H]-	9546727	8.872219
LQB1220965	LQB_000	LQB00195,LQB00581	744.5527	[M-H]-	9546734	11.1291
LQB9953473	LQB_000	LQB00196,LQB00582	742.5366	[M-H]-	9546748	10.40782
LQB5108944	LQB_000	LQB00210,LQB00596	770.5728	[M-H]-	9546827	11.18996
LQB7256597	LQB_000	LQB00198,LQB00584	770.5727	[M-H]-	9546828	11.44088
LQB1764663	LQB_000	LQB00197,LQB00583	772.5845	[M-H]-	9546842	12.51665
LQB1121347	LQB_000	LQB00174,LQB00560	718.5385	[M-H]-	9546967	10.94608
LQB3269347	LQB_000	LQB00015,LQB00401	614.534	[M+CH3COOH-H]-	9807776	9.29612
LQB9738121	LQB_000	LQB00346,LQB00732	878.5001	[M-H]-	9832667	8.038691
LQB7257342	LQB_000	LQB00002,LQB00388	658.5583	[M+CH3COOH-H]-	9894945	9.853487
LQB3031652	LQB_000	LQB00168,LQB00554	910.5597	[M+CH3COOH-H]-	9919063	8.467885
LQB4758203	LQB_000	LQB00116,LQB00502	864.5729	[M+CH3COOH-H]-	9940652	9.202155
LQB1741358	LQB_000	LQB00333,LQB00719	788.5428	[M-H]-	9962404	9.185796
