accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
LU86097128	LU_000	LU090651,LU090652,LU090653,LU090654,LU090655,LU090656	160.9566	[M-H]-	66	18.134
LU13118187	LU_000	LU084851,LU084852,LU084853,LU084854,LU084855,LU084856	137.0244	[M-H]-	135	14.944
LU15805349	LU_000	LU066451,LU066452,LU066453,LU066454,LU066455,LU066456	145.0506	[M-H]-	196	9.798
LU83447227	LU_000	LU034451,LU034452,LU034453,LU034454,LU034455,LU048551,LU048552,LU048553,LU048554,LU048555	121.02950000000001	[M-H]-	243	12.052200000000001
LU00721182	LU_000	LU090951,LU090952,LU090953,LU090954,LU090955,LU090956	137.0244	[M-H]-	338	14.935
LU41333025	LU_000	LU019051,LU019052,LU019053,LU019054,LU019055,LU019056	174.0561	[M-H]-	802	14.045999999999998
LU03346273	LU_000	LU101551,LU101552,LU101553,LU101554,LU101555,LU101556	205.0362	[M-H]-	864	16.664999999999996
LU45540106	LU_000	LU096151,LU096152,LU096153,LU096154,LU096155,LU096156	231.11390000000003	[M-H]-	896	13.548333333333332
LU26289381	LU_000	LU048851,LU048852,LU048853	122.02479999999998	[M-H]-	938	2.448
LU59260862	LU_000	LU113951,LU113952,LU113953,LU113954,LU113955,LU113956	136.0404	[M-H]-	978	12.156333333333334
LU03852195	LU_000	LU098251,LU098252,LU098253,LU098254,LU098255,LU098256,LU120251,LU120252,LU120253,LU120254,LU120255,LU120256	138.01970000000003	[M-H]-	980	13.870999999999997
LU35220604	LU_000	LU082251,LU082252,LU082253,LU082254	255.233	[M-H]-	985	21.568
LU89209543	LU_000	LU036451,LU036452,LU036453,LU036454,LU036455	262.8397	[M-H]-	992	20.3
LU20311634	LU_000	LU105551,LU105552,LU105553,LU105554,LU105555,LU105556	165.01929999999996	[M-H]-	1017	13.283
LU05950424	LU_000	LU093051,LU093052,LU093053,LU093054,LU093055	166.0146	[M-H]-	1066	14.715
LU02510994	LU_000	LU095251,LU095252,LU095253,LU095254,LU095255,LU095256	151.04009999999997	[M-H]-	1183	14.17
LU42583039	LU_000	LU032551,LU032552,LU032553,LU032554,LU032555,LU032556	252.92319999999998	[M-H]-	1480	18.063
LU75268912	LU_000	LU131051,LU131052,LU131053,LU131054,LU131055,LU131056	326.7661	[M-H]-	1483	19.045999999999996
LU19287278	LU_000	LU073751,LU073752,LU073753,LU073754,LU073755,LU073756	218.9621	[M-H]-	1486	16.962999999999997
LU41618595	LU_000	LU035451,LU035452,LU035453,LU035454,LU035455,LU035456	232.97780000000003	[M-H]-	1488	17.343
LU14144035	LU_000	LU044751,LU044752,LU044753,LU044754,LU044755,LU044756	183.00469999999999	[M-H]-	1493	14.528
LU25501701	LU_000	LU098651,LU098652,LU098653,LU098654,LU098655	141.0113	[M-H]-	1732	16.975
LU47693878	LU_000	LU088053,LU088054	219.1754	[M-H]-	1752	20.013
LU12212911	LU_000	LU082751,LU082752,LU082753,LU082754,LU082755,LU082756,LU092051,LU092052,LU092053,LU092054,LU092055,LU092056	251.08260000000004	[M-H]-	1775	15.510999999999997
LU94223717	LU_000	LU070251,LU070252,LU070253,LU070254,LU070255,LU070256	182.0046	[M-H]-	1982	5.731000000000001
LU33675581	LU_000	LU082051,LU082052,LU082053,LU082054,LU082055,LU082056	150.0561	[M-H]-	1983	10.804
LU36482541	LU_000	LU036651,LU036652,LU036653,LU036654,LU036655,LU036656	220.9809	[M-H]-	1986	8.459000000000001
LU70434452	LU_000	LU089451,LU089452,LU089453,LU089454,LU089455,LU089456	323.1071	[M-H]-	1989	16.136999999999997
LU22392419	LU_000	LU028453,LU028454,LU028455,LU028456	198.9916	[M-H]-	2075	11.8
LU88439134	LU_000	LU045351,LU045352,LU045353,LU045354,LU045355,LU045356	264.0812	[M-H]-	2082	16.045
LU43782786	LU_000	LU033351,LU033352,LU033353,LU033354,LU033355,LU033356	350.17619999999994	[M-H]-	2126	19.353000000000005
LU16924320	LU_000	LU117351,LU117352,LU117353,LU117354,LU117355,LU117356	231.11390000000003	[M-H]-	2145	13.546999999999999
LU31789394	LU_000	LU111851,LU111852,LU111853,LU111854,LU111855,LU111856	179.0574	[M-H]-	2153	10.138
LU10418829	LU_000	LU126251,LU126252,LU126253,LU126254,LU126255,LU126256	276.0309	[M-H]-	2265	10.668
LU07304862	LU_000	LU120451,LU120452,LU120453,LU120454,LU120455,LU120456	239.04960000000003	[M-H]-	2328	15.674000000000001
LU92071330	LU_000	LU051951,LU051952,LU051953,LU051954,LU051955,LU051956	429.0538000000001	[M-H]-	2375	16.682
LU07025008	LU_000	LU136451,LU136452,LU136453,LU136454,LU136455,LU136456	352.877	[M-H]-	2406	20.232
LU85655871	LU_000	LU077951,LU077952,LU077953,LU077954,LU077955,LU077956	220.0979	[M-H]-	2566	14.394999999999998
LU01200873	LU_000	LU067551,LU067552,LU067553,LU067554,LU067555,LU067556	203.013	[M-H]-	2603	18.007
LU83589012	LU_000	LU045451,LU045453,LU045454,LU045455,LU045456	380.0686	[M-H]-	2662	17.965
LU50473635	LU_000	LU053551,LU053552,LU053553,LU053554,LU053555,LU053556	387.14809999999994	[M-H]-	2678	16.306
LU26790136	LU_000	LU125151,LU125152,LU125153,LU125154	272.0154	[M-H]-	2717	14.287
LU57102526	LU_000	LU120751,LU120752,LU120753,LU120754,LU120755	155.0269	[M-H]-	2723	17.703
LU16676875	LU_000	LU077451,LU077452,LU077453,LU077454,LU077455,LU077456	317.0885	[M-H]-	2726	11.646
LU26212064	LU_000	LU042051,LU042052,LU042053,LU042054,LU042055,LU042056	275.0263	[M-H]-	2727	15.72
LU54655821	LU_000	LU069151,LU069152,LU069153,LU069154,LU069155,LU069156	287.0247	[M-H]-	2763	18.091000000000005
LU39230092	LU_000	LU107651,LU107652,LU107653,LU107654,LU107655,LU107656	213.03240000000002	[M-H]-	2797	17.23266666666667
LU25232327	LU_000	LU099251,LU099252,LU099253,LU099254,LU099255,LU099256	313.0578	[M-H]-	2952	15.466999999999999
LU94971873	LU_000	LU096451,LU096452,LU096453,LU096454	292.1918	[M-H]-	2998	17.915
LU63353735	LU_000	LU099051,LU099052,LU099053,LU099054,LU099055,LU099056	218.9621	[M-H]-	3030	16.962999999999997
LU17694721	LU_000	LU018651,LU018652	294.0094	[M-H]-	3033	18.566
LU87662992	LU_000	LU113751,LU113752,LU113753,LU113754,LU113755,LU113756	266.9985	[M-H]-	3037	18.384
LU56274389	LU_000	LU100751,LU100752,LU100753,LU100754	224.0313	[M-H]-	3092	12.504
LU78152554	LU_000	LU120051,LU120052,LU120053,LU120054,LU120055,LU120056	231.00970000000004	[M-H]-	3120	16.791
LU10292628	LU_000	LU099951,LU099952,LU099953,LU099954,LU099955,LU099956	269.0455	[M-H]-	3220	19.837999999999997
LU47026495	LU_000	LU036851,LU036852,LU036853,LU036854,LU036855,LU036856	185.04549999999998	[M-H]-	3225	7.970666666666666
LU64591352	LU_000	LU112151,LU112152,LU112153,LU112154,LU112155,LU112156	336.0376999999999	[M-H]-	3325	8.018666666666666
