accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
NA65675029	NA_003	NA002623,NA002624,NA002625,NA002626,NA002627,NA003006,NA003007,NA003008,NA003009,NA003010,NA003374,NA003375,NA003376,NA003377,NA003378,NA003747,NA003748,NA003749,NA003750,NA003751	136.06179999999998	[M+H]+	190	C5H5N5	0.7082499999999999
NA42213417	NA_003	NA002586,NA002587,NA002588,NA002589,NA002590,NA002974,NA002975,NA002976,NA002977,NA002978,NA003349,NA003350,NA003351,NA003352,NA003353,NA003719,NA003720,NA003721,NA003722,NA003723	147.04410000000001	[M+H]+	323	C9H6O2	7.1049999999999995
NA23225688	NA_003	NA000807,NA000809,NA000811,NA000937,NA000939,NA000968,NA001060,NA001062,NA001064,NA001187,NA001189,NA001191,NA001314,NA001316,NA001318,NA001439,NA001441,NA001443,NA001574,NA001576,NA001578,NA001699,NA001701,NA001703,NA001819,NA001821,NA001823,NA001937,NA001939,NA001941,NA002053,NA002055,NA002057	163.12299999999993	[M+H]+	2181	C10H14N2	0.4401818181818182
NA11277754	NA_003	NA000816,NA000818,NA000820,NA000941,NA000943,NA000945,NA001070,NA001072,NA001074,NA001197,NA001199,NA001201,NA001324,NA001326,NA001328,NA001449,NA001451,NA001453,NA001584,NA001586,NA001588,NA001709,NA001711,NA001713,NA001829,NA001831,NA001833,NA001947,NA001949,NA001951,NA002063,NA002065,NA002067	217.04950000000005	[M+H]+	2355	C12H8O4	9.940454545454545
NA87644015	NA_003	NA000878,NA000880,NA000882,NA001008,NA001010,NA001012,NA001132,NA001134,NA001136,NA001254,NA001256,NA001258,NA001384,NA001386,NA001388,NA001509,NA001511,NA001513,NA001644,NA001646,NA001648,NA001764,NA001766,NA001768,NA001891,NA001893,NA001895,NA002009,NA002120,NA002122,NA002124	288.15940000000023	[M+H]+	3449	C17H21NO3	0.6662258064516131
NA74404655	NA_003	NA002606,NA002607,NA002608,NA002609,NA002610,NA002994,NA002995,NA002996,NA002997,NA002998,NA003739,NA003740,NA003741	295.1904	[M+H]+	3473	C17H26O4	11.63023076923077
NA15830166	NA_003	NA002265,NA002266,NA002267,NA002268,NA002269,NA002662,NA002663,NA002664,NA002665,NA002666,NA003044,NA003045,NA003046,NA003047,NA003048,NA003409,NA003410,NA003411,NA003412,NA003413	340.15430000000003	[M+H]+	4680	C20H21NO4	7.588749999999999
NA90303677	NA_003	NA002374,NA002375,NA002376,NA002377,NA002378,NA002769,NA002770,NA002771,NA002772,NA002773,NA003149,NA003150,NA003151,NA003152,NA003153,NA003514,NA003515,NA003516,NA003517,NA003518	354.13360000000006	[M+H]+	4970	C20H19NO5	6.708499999999999
NA55005825	NA_003	NA002309,NA002310,NA002311,NA002312,NA002313	609.2807	[M+H]+	5770	C33H40N2O9	10.094
NA62857887	NA_003	NA002709,NA002710,NA002711,NA002712,NA002713,NA003089,NA003090,NA003091,NA003092,NA003093,NA003454,NA003455,NA003456,NA003457,NA003458	209.12849999999992	[M+H]+	5910	C11H16N2O2	0.627
