accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
PR79216224	PR_000	PR309129	175.0599	[M-H]-	77	C7H12O5	3.25
PR41333561	PR_000	PR305446,PR305453,PR305471,PR305478,PR305497,PR305504,PR305511	109.02950294783	[M-H]-	289	C6H6O2	2.6727169999999996
PR67680727	PR_000	PR309126	173.0086	[M-H]-	309	C6H6O6	1.93
PR95766084	PR_000	PR309127,PR309128	191.0188	[M-H]-	311	C6H8O7	1.605
PR25802641	PR_000	PR305526,PR305529,PR305532,PR305535,PR305538,PR305541,PR305544,PR305547,PR305550,PR305553,PR305556,PR305559,PR309364,PR309365,PR309366	163.04004545159734	[M-H]-	322	C9H8O3	4.0168136
PR78536381	PR_000	PR307304,PR307306,PR307308,PR307310,PR307312,PR307314,PR307316,PR307318,PR307320,PR307322,PR307324,PR307326,PR308727	317.08780607861223	[M+HCOO]-	346	C12H16O7	1.8779387692307687
PR83156917	PR_000	PR307303,PR307305,PR307307,PR307309,PR307311,PR307313,PR307315,PR307317,PR307319,PR307321,PR307323,PR307325,PR308726	271.08232672107385	[M-H]-	346	C12H16O7	1.8779387692307687
PR90425191	PR_000	PR308144,PR308146,PR308148,PR308150,PR308152,PR308154,PR308156,PR308158,PR308160,PR308162,PR308164,PR308166,PR309425	169.01424709030465	[M-H]-	370	C7H6O5	2.0421535384615384
PR07807381	PR_000	PR306367,PR306373,PR306379,PR306385,PR306390,PR306395,PR306401,PR306407,PR306412,PR306418,PR306424,PR306430,PR309368	255.0662822595354	[M-H]-	425	C15H12O4	6.429261538461538
PR01317112	PR_000	PR309311	303.0498	[M-H]-	471	C15H12O7	4.27
PR13602292	PR_000	PR309410	128.035	[M-H]-	499	C5H7NO3	1.76
PR60942428	PR_000	PR308122,PR308124,PR308126,PR308128,PR308130,PR308132,PR308134,PR308135,PR308137,PR308139,PR308141,PR308143,PR308793	287.0561115210739	[M-H]-	662	C15H12O6	4.796476615384615
PR38199862	PR_000	PR309342	133.0497	[M-H]-	677	C5H10O4	1.92
PR58286288	PR_000	PR307149,PR307151,PR307153,PR307156,PR307158,PR307160,PR307162,PR307164,PR307166,PR307168,PR309325	193.05063213439095	[M-H]-	709	C10H10O4	4.228393636363637
PR13965201	PR_000	PR309121	115.0023	[M-H]-	723	C4H4O4	1.66
PR85156380	PR_000	PR309124	131.0347	[M-H]-	743	C5H8O4	2.53
PR55249525	PR_000	PR309411	130.0868	[M-H]-	791	C6H13NO2	3.66
PR71492974	PR_000	PR309123	129.0188	[M-H]-	811	C5H6O4	2.18
PR63803495	PR_000	PR305565,PR305572,PR305578,PR305585,PR305590,PR305597,PR305603,PR305608,PR305614,PR305620,PR305627,PR305632,PR309308,PR309309	271.0610903267114	[M-H]-	932	C15H12O5	5.954571142857142
PR41911992	PR_000	PR309343	218.1032	[M-H]-	988	C9H17NO5	2.48
PR95668731	PR_000	PR309414	164.0708	[M-H]-	994	C9H11NO2	2.32
PR15924688	PR_000	PR309122	117.0182	[M-H]-	1110	C4H6O4	1.8
PR07064236	PR_000	PR309197	203.0788	[M-H]-	1148	C11H12N2O2	2.8
PR69936987	PR_000	PR309415	180.0654	[M-H]-	1153	C9H11NO3	1.79
PR16319304	PR_000	PR309135	243.0616	[M-H]-	1177	C9H12N2O6	1.81
PR52394537	PR_000	PR309133	283.0679	[M-H]-	1189	C10H12N4O6	2.09
PR69415930	PR_000	PR306208,PR306214,PR306220,PR306226,PR306232,PR306238,PR306244,PR306250,PR306256,PR306262,PR306268,PR306274,PR306282,PR306289,PR306296,PR306303,PR306309,PR306316,PR306322,PR306329,PR306336,PR306343,PR306350,PR306357,PR306362,PR306368,PR306374,PR306380,PR306386,PR306391,PR306396,PR306402,PR306408,PR306413,PR306419,PR306425,PR309323	289.07176170059137	[M-H]-	1203	C15H14O6	3.320113513513514
