accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
PR87912877	PR_002	PR310810	298.097	[M+H]+	149	2.7
PR86414590	PR_002	PR310808	268.1054	[M+H]+	191	1.88
PR34519195	PR_002	PR311149	146.0814	[M+H]+	207	2.42
PR55499150	PR_002	PR310803,PR310804	157.01389999999998	[M+H-H2O]+	309	1.775
PR98976947	PR_002	PR311087,PR311088	147.0445	[M+H-H2O]+	322	2.8449999999999998
PR28799595	PR_002	PR311090	165.05462	[M+H]+	322	4.01
PR43513453	PR_002	PR304085,PR304087,PR304089,PR304092,PR304094,PR304096,PR304098,PR304100,PR304102,PR304104,PR304106,PR310437	171.028799725	[M+H]+	370	2.039908333333333
PR95739198	PR_002	PR310815	179.1188	[M+H]+	409	1.82
PR43618179	PR_002	PR311094	257.08084	[M+H]+	425	6.43
PR29338601	PR_002	PR311147,PR311148	130.05055	[M+H]+	499	1.675
PR47346420	PR_002	PR310806	252.1096	[M+H]+	636	1.93
PR44363938	PR_002	PR304073,PR304074,PR304075,PR304076,PR304077,PR304078,PR304079,PR304080,PR304081,PR304082,PR304083,PR304084,PR310461	289.07066424615374	[M+H]+	662	4.80456923076923
PR79157841	PR_002	PR311010	195.06519	[M+H]+	709	4.24
PR29607283	PR_002	PR310781	308.091	[M+H]+	745	1.52
PR70312683	PR_002	PR311151	132.1028	[M+H]+	791	1.94
PR33038224	PR_002	PR311150	132.102	[M+H]+	857	1.87
PR48772408	PR_002	PR310997	273.07575	[M+H]+	932	5.95
PR07795622	PR_002	PR310814	163.1242	[M+H]+	942	1.62
PR58878054	PR_002	PR310801	220.1202	[M+H]+	988	2.48
PR89226849	PR_002	PR311156	166.0862	[M+H]+	994	2.3
PR71791096	PR_002	PR310579	325.19105	[M+H]+	1065	3.31
PR89752022	PR_002	PR310884	205.0975	[M+H]+	1148	2.8
PR08936071	PR_002	PR310883	161.108	[M+H]+	1150	1.79
PR81658117	PR_002	PR311157	182.0811	[M+H]+	1153	1.79
PR12303820	PR_002	PR310812	245.0781	[M+H]+	1177	1.8
PR10344233	PR_002	PR310811	153.0415	[M+H]+	1188	1.75
PR59156855	PR_002	PR310807	285.0847	[M+H]+	1189	2.07
PR58442048	PR_002	PR310492,PR310493,PR311008	291.08631	[M+H]+	1203	3.3333333333333335
PR34832847	PR_002	PR310433	384.14416	[M+H]+	1309	4.21
PR12641636	PR_002	PR311158	168.1025	[M+H]+	1669	2.06
PR56436466	PR_002	PR311155	165.0551	[M+H-H2O]+	1738	3.84
PR52599214	PR_002	PR310996	257.0814	[M+H]+	1889	5.31
PR50159030	PR_002	PR310652	646.32219	[M+H]+	2012	5.97
PR32952221	PR_002	PR310580	327.2067	[M+H]+	2073	4.13
PR28706141	PR_002	PR311050	237.1254	[M+H]+	2080	2.84
PR32236891	PR_002	PR301635,PR301638,PR301641,PR301644,PR301647,PR301649,PR301652,PR301654,PR301657,PR301660,PR301663,PR301666,PR310426	204.11313861538457	[M+H]+	2151	2.7629843076923075
PR49995297	PR_002	PR310435	458.16569	[M+H]+	2180	3.32
PR99972826	PR_002	PR311034	189.1131	[M+H]+	2266	4.78
PR53554322	PR_002	PR310423	329.08671	[M+H]+	2356	2.86
PR12268281	PR_002	PR311132	212.0551	[M+H]+	2358	2.59
PR99791871	PR_002	PR310516	387.25299	[M+H]+	2464	6.99
PR24823299	PR_002	PR311117,PR311118	181.04937	[M+H]+	2518	3.5300000000000002
PR12039166	PR_002	PR311099	349.1191	[M+H]+	2538	5.4
PR41643146	PR_002	PR310536	218.08454	[M+H]+	2550	4.05
PR98551908	PR_002	PR310641	467.29043	[M+H]+	2665	2.98
PR10713314	PR_002	PR301707,PR301710,PR301713,PR301716,PR301719,PR301722,PR301725,PR301728,PR301731,PR301734,PR301737,PR301740,PR310598	348.1224862153846	[M]+	2703	5.302261538461538
PR82889414	PR_002	PR301811,PR301815,PR301819,PR301823,PR301827,PR301833,PR301837,PR301840,PR301844,PR301848,PR310567,PR310569	295.18048983333335	[M+H]+	2757	3.1419166666666665
PR51731648	PR_002	PR310612	357.32643	[M+H]+	2860	3.35
PR89748081	PR_002	PR300925,PR300930,PR300935,PR300940,PR300945,PR300950,PR300955,PR300960,PR300965,PR300970,PR300975,PR300980,PR301497,PR301501,PR301505,PR301508,PR301512,PR301516,PR301520,PR301524,PR301528,PR301532,PR301536,PR301539,PR310610	355.201619232	[M+H]+	2866	4.18556784
PR38174363	PR_002	PR311103	497.1961	[M+H]+	2989	5.27
