accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
RP73248891	RP_000	RP012811	121.0295	[M-H]-	243	C7H6O2	3.532
RP76216892	RP_000	RP012011,RP012012,RP012013	109.0295	[M-H]-	289	C6H6O2	2.599
RP63887908	RP_000	RP017011,RP017012,RP017013	137.0244	[M-H]-	338	C7H6O3	3.6
RP60701951	RP_000	RP016211,RP016212	207.0519	[M-H]-	421	C8H16O2S2	4.395
RP62318786	RP_000	RP013011	178.051	[M-H]-	464	C9H9NO3	7.425
RP86417853	RP_000	RP000111,RP000112	74.0248	[M-H]-	750	C2H5NO2	0.587
RP92063679	RP_000	RP016611,RP016612	174.0561	[M-H]-	802	C10H9NO2	3.532
RP52247452	RP_000	RP022411,RP022412,RP022413	96.9696	[M-H]-	1004	H3O4P	0.656
RP16677347	RP_000	RP018211,RP018212	181.0506	[M-H]-	1738	C9H10O4	2.841
RP25556308	RP_000	RP011211	179.035	[M-H]-	2244	C9H8O4	8.412
RP63382806	RP_000	RP024311,RP024312	283.2643	[M-H]-	5281	C18H36O2	7.705
RP78948378	RP_000	RP030311,RP030312,RP030313	271.1704	[M-H]-	5757	C18H24O2	4.481
RP38437711	RP_000	RP022611,RP022612,RP022613	179.0561	[M-H]-	5793	C6H12O6	0.604
RP35149239	RP_000	RP000211	88.0404	[M-H]-	5950	C3H7NO2	0.601
RP99415776	RP_000	RP023711,RP023712,RP023713	259.0224	[M-H]-	5958	C6H13O9P	0.66
RP90676001	RP_000	RP001611	132.0302	[M-H]-	5960	C4H7NO4	0.627
RP27983053	RP_000	RP001311	145.0619	[M-H]-	5961	C5H10N2O3	0.641
RP35144248	RP_000	RP001112	145.0983	[M-H]-	5962	C6H14N2O2	0.559
RP43349270	RP_000	RP031411,RP031412,RP031413	243.06229999999996	[M-H]-	6029	C9H12N2O6	0.711
RP14548686	RP_000	RP013411,RP013412,RP013413	440.1324	[M-H]-	6037	C19H19N7O6	2.476
RP51500843	RP_000	RP000311,RP000312	180.0666	[M-H]-	6057	C9H11NO3	0.723
RP17874275	RP_000	RP000611	130.0874	[M-H]-	6106	C6H13NO2	0.886
RP92581688	RP_000	RP000411,RP000412	164.0717	[M-H]-	6140	C9H11NO2	1.398
RP79070199	RP_000	RP001511,RP001512	131.0462	[M-H]-	6267	C4H8N2O3	0.573
RP65791403	RP_000	RP002011,RP002012,RP002013	154.0622	[M-H]-	6274	C6H9N3O2	0.574
RP16547172	RP_000	RP000911,RP000912	116.0717	[M-H]-	6287	C5H11NO2	0.669
RP91584813	RP_000	RP000511,RP000512,RP000513	203.08260000000004	[M-H]-	6305	C11H12N2O2	2.399
RP12121966	RP_000	RP000811	130.0874	[M-H]-	6306	C6H13NO2	0.762
RP54453719	RP_000	RP014911,RP014913	341.1089	[M-H]-	7427	C12H22O11	0.604
RP26227066	RP_000	RP023911,RP023912	157.1234	[M-H]-	8158	C9H18O2	5.202
RP19279681	RP_000	RP017511,RP017512,RP017513	173.04550000000003	[M-H]-	8742	C7H10O5	0.656
RP98646131	RP_000	RP017811,RP017812,RP017813	289.0718	[M-H]-	9064	C15H14O6	2.555
RP15704934	RP_000	RP015311,RP015312,RP015313	173.0819	[M-H]-	10457	C8H14O4	3.095
RP68150165	RP_000	RP015511,RP015512,RP015513	151.0401	[M-H]-	11970	C8H8O3	3.029
RP38935655	RP_000	RP017711,RP017712,RP017713	195.06630000000004	[M-H]-	12038	C10H12O4	4.069
RP70884736	RP_000	RP015611,RP015612,RP015613	151.0401	[M-H]-	12122	C8H8O3	2.85
RP04596226	RP_000	RP015811,RP015812,RP015813	159.0663	[M-H]-	12292	C7H12O4	2.7320000000000007
RP01427378	RP_000	RP031511,RP031512,RP031513	243.06229999999996	[M-H]-	15047	C9H12N2O6	0.643
RP24940489	RP_000	RP023411	163.0612	[M-H]-	19233	C6H12O5	0.604
RP18093591	RP_000	RP002211	130.0874	[M-H]-	21236	C6H13NO2	1.099
RP82949070	RP_000	RP030611,RP030612	334.1521	[M-H]-	24405	C15H21N5O4	3.153
RP03747113	RP_000	RP001411,RP001412	146.0459	[M-H]-	33032	C5H9NO4	0.601
RP07139039	RP_000	RP017911,RP017912,RP017913	457.0776	[M-H]-	65064	C22H18O11	2.833
RP14000197	RP_000	RP023311	149.0455	[M-H]-	66308	C5H10O5	0.631
RP65289876	RP_000	RP001011	118.051	[M-H]-	69435	C4H9NO3	0.603
