accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
RP69212086	RP_001	RP011901,RP011902,RP011903	139.039	[M+H]+	135	2.548
RP25870474	RP_001	RP011501,RP011502,RP011503	138.055	[M+H]+	227	3.089
RP27732458	RP_001	RP012801,RP012802,RP012803	123.0441	[M+H]+	243	3.52
RP82065697	RP_001	RP022201,RP022202,RP022203	162.1125	[M+H]+	288	0.59
RP36365492	RP_001	RP012001,RP012002,RP012003	111.0441	[M+H]+	289	2.563
RP06831284	RP_001	RP017001,RP017002,RP017003	139.039	[M+H]+	338	3.612
RP07482106	RP_001	RP013001,RP013002,RP013003	180.06550000000001	[M+H]+	464	2.762
RP47890334	RP_001	RP000101	76.0393	[M+H]+	750	0.589
RP77694481	RP_001	RP011801,RP011802,RP011803	169.0495	[M+H]+	780	1.3869999999999998
RP25223502	RP_001	RP016601,RP016602,RP016603	176.0706	[M+H]+	802	3.517
RP87150782	RP_001	RP022301,RP022302,RP022303	123.0553	[M+H]+	936	0.698
RP55693660	RP_001	RP012301,RP012302,RP012303	220.1179	[M+H]+	988	1.63
RP89575535	RP_001	RP022501,RP022502,RP022503	95.0491	[M+H]+	996	3.264
RP92547600	RP_001	RP022401,RP022402,RP022403	98.9842	[M+H]+	1004	0.658
RP65731444	RP_001	RP022001,RP022002,RP022003	146.1652	[M+H]+	1102	0.588
RP10715161	RP_001	RP013601,RP013602	169.0356	[M+H]+	1175	0.683
RP28162509	RP_001	RP012501,RP012502,RP012503	153.0407	[M+H]+	1188	0.698
RP89787887	RP_001	RP018201,RP018202,RP018203	183.0652	[M+H]+	1738	2.844
RP66849804	RP_001	RP019901,RP019902,RP019903	279.1591	[M+H]+	3026	6.087
RP67823801	RP_001	RP004201,RP004202	300.2897	[M+H]+	4671	6.721
RP28304017	RP_001	RP019101,RP019102,RP019103	181.076	[M+H]+	4757	4.356
RP12329721	RP_001	RP012201,RP012202,RP012203	181.072	[M+H]+	5429	1.55
RP07200681	RP_001	RP030301,RP030302,RP030303	273.1849	[M+H]+	5757	4.483
RP58022326	RP_001	RP001801,RP001802,RP001803	122.027	[M+H]+	5862	0.604
RP45813670	RP_001	RP000201,RP000202	90.055	[M+H]+	5950	0.601
RP23485424	RP_001	RP000701,RP000702,RP000703	106.0499	[M+H]+	5951	0.602
RP26003568	RP_001	RP023701,RP023702,RP023703	261.037	[M+H]+	5958	0.644
RP11784935	RP_001	RP001601,RP001602	134.0448	[M+H]+	5960	0.589
RP30249284	RP_001	RP001301,RP001302,RP001303	147.0764	[M+H]+	5961	0.604
RP13419156	RP_001	RP001101,RP001102,RP001103	147.1128	[M+H]+	5962	0.563
RP71671204	RP_001	RP031401,RP031402,RP031403	245.07679999999996	[M+H]+	6029	0.698
RP89121890	RP_001	RP013401,RP013402,RP013403	442.147	[M+H]+	6037	2.478
RP43439763	RP_001	RP000301,RP000302,RP000303	182.0812	[M+H]+	6057	0.709
RP53134744	RP_001	RP000601,RP000602,RP000603	132.1019	[M+H]+	6106	0.844
RP83546121	RP_001	RP001901,RP001902,RP001903	150.0583	[M+H]+	6137	0.698
RP94654269	RP_001	RP000401,RP000402,RP000403	166.0863	[M+H]+	6140	1.41
