accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
SM77641833	SM_001	SM800901,SM884401	138.055	[M+H]+	227	C7H7NO2	2.5065
SM69058003	SM_001	SM817901	147.0441	[M+H]+	323	C9H6O2	7.095
SM76949778	SM_001	SM825501	110.06	[M+H]+	403	C6H7NO	0.482
SM81944116	SM_001	SM818403,SM869405	177.1022	[M+H]+	408	C10H12N2O	0.4475
SM71150604	SM_001	SM859601	240.115	[M+H]+	444	C13H18ClNO	5.918
SM87983016	SM_001	SM868004	114.0662	[M+H]+	588	C4H7N3O	0.412
SM98690334	SM_001	SM809101	69.0447	[M+H]+	795	C3H4N2	0.474
SM73500083	SM_001	SM815402	69.0447	[M+H]+	1048	C3H4N2	0.764
SM11186969	SM_001	SM813501	80.0495	[M+H]+	1049	C5H5N	0.438
SM37728930	SM_001	SM854403	231.1016	[M+H]+	1302	C14H14O3	10.942
SM66810721	SM_001	SM816201	157.076	[M+H]+	1474	C10H8N2	1.022
SM26505102	SM_001	SM831701	225.1135	[M+H]+	1530	C13H12N4	5.987
SM87967841	SM_001	SM810703	85.0509	[M+H]+	1639	C2H4N4	0.401
SM30407784	SM_001	SM805001,SM866701	152.0706	[M+H]+	1983	C8H9NO2	1.162
SM40973353	SM_001	SM848201	270.1255	[M+H]+	1988	C14H20ClNO2	11.858
SM40417446	SM_001	SM853502	266.0958	[M+H]+	2082	C12H15N3O2S	9.275
SM59446383	SM_001	SM849201	376.9859	[M+H]+	2132	C13H18Br2N2O	5.782
SM81731132	SM_001	SM866001	204.1131	[M+H]+	2151	C11H13N3O	0.959
SM59979409	SM_001	SM815601	181.072	[M+H]+	2153	C7H8N4O2	2.237
SM04692502	SM_001	SM859203	278.1903	[M+H]+	2160	C20H23N	8.835
SM61704994	SM_001	SM853202	294.1713	[M+H]+	2187	C17H19N5	9.142
SM31287266	SM_001	SM873201	287.2006	[M+H]+	2193	C19H26O2	11.141
SM14707712	SM_001	SM854601	189.1022	[M+H]+	2206	C11H12N2O	6.069
SM66461778	SM_001	SM841401	216.101	[M+H]+	2256	C8H14ClN5	9.936
SM92388553	SM_001	SM850803	382.1681	[M+H]+	2267	C22H24ClN3O	8.953
SM74040549	SM_001	SM847302	318.013	[M+H]+	2268	C10H12N3O3PS2	10.778
SM31352230	SM_001	SM847601	224.0917	[M+H]+	2314	C11H13NO4	9.032
SM95188400	SM_001	SM808001	122.06	[M+H]+	2331	C7H7NO	1.757
SM88651346	SM_001	SM827301,SM862301	166.0863	[M+H]+	2337	C9H11NO2	7.768
SM52285934	SM_001	SM836901	313.1434	[M+H]+	2347	C19H20O4	13.193
SM30255670	SM_001	SM849101	311.1543	[M+H]+	2378	C22H18N2	9.695
SM00614756	SM_001	SM859501	326.2326	[M+H]+	2405	C18H31NO4	7.32
SM39762315	SM_001	SM866601	195.0877	[M+H]+	2519	C8H10N4O2	4.809
SM33507258	SM_001	SM855703	455.2904	[M+H]+	2520	C27H38N2O4	8.76
SM43534733	SM_001	SM818201	441.167	[M+H]+	2541	C24H20N6O3	11.262
SM00785255	SM_001	SM851602	382.0832	[M+H]+	2662	C17H14F3N3O2S	12.089
SM50678439	SM_001	SM858203	389.1626	[M+H]+	2678	C21H25ClN2O3	10.069
SM65561520	SM_001	SM845003	214.0629	[M+H]+	2728	C10H12ClNO2	11.506
SM78983179	SM_001	SM817703	349.9336	[M+H]+	2730	C9H11Cl3NO3PS	13.753
SM58195238	SM_001	SM859002	325.1711	[M+H]+	2771	C20H21FN2O	7.755
SM93583087	SM_001	SM853101	322.0663	[M+H]+	2806	C16H16ClNO2S	11.065
SM86066390	SM_001	SM854903	345.1153	[M+H]+	2812	C22H17ClN2	9.765
SM80059074	SM_001	SM833501	294.2064	[M+H]+	2998	C17H27NO3	11.829
SM51580093	SM_001	SM874002	311.2006	[M+H]+	2999	C21H26O2	11.331
SM21680152	SM_001	SM872801,SM874301	393.2072	[M+H]+	3003	C22H29FO5	10.534
SM04080389	SM_001	SM874501	375.1721	[M+H]+	3015	C22H27ClO3	11.842
SM95349239	SM_001	SM856001	285.0789	[M+H]+	3016	C16H13ClN2O	11.075
SM29186697	SM_001	SM877901	305.1083	[M+H]+	3017	C12H21N2O3PS	12.528
SM98495371	SM_001	SM822401	279.1591	[M+H]+	3026	C16H22O4	13.194
SM90795002	SM_001	SM856902	296.024	[M+H]+	3033	C14H11Cl2NO2	12.253
SM52928250	SM_001	SM847202	220.9532	[M+H]+	3039	C4H7Cl2O4P	8.616
SM62464444	SM_001	SM837901	230.0069	[M+H]+	3082	C5H12NO3PS2	6.076
SM44673155	SM_001	SM858801	256.1696	[M+H]+	3100	C17H21NO	7.528
SM22093954	SM_001	SM877701	233.0243	[M+H]+	3120	C9H10Cl2N2O	10.145
SM54390277	SM_001	SM851701	426.1691	[M+H]+	3151	C22H24ClN5O2	7.663
SM04675068	SM_001	SM849302	470.3054	[M+H]+	3191	C32H39NO2	11.405
