accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
UT61880015	UT_000	UT001011,UT001287,UT001747,UT002028,UT002483,UT002756	792.5750000000002	[M+CH3COO]-	6138	C40H80NO8P	27.028333333333336
UT83498762	UT_000	UT001356,UT002096,UT002825	690.5099999999999	[M-H]-	65109	C37H74NO8P	28.426666666666666
UT99640796	UT_000	UT001121,UT001373,UT001859,UT002114,UT002591,UT002842	718.54	[M-H]-	6426734	C39H78NO8P	37.29833333333333
UT70690580	UT_000	UT001131,UT001382,UT001869,UT002123,UT002602,UT002851	790.54	[M-H]-	6426737	C45H78NO8P	25.051666666666666
UT77468442	UT_000	UT001365,UT002105,UT002834	762.5099999999999	[M-H]-	6426738	C43H74NO8P	17.626666666666665
UT88418785	UT_000	UT001446,UT002186,UT002914	704.56	[M-H]-	9547045	C39H80NO7P	43.550000000000004
UT55146250	UT_000	UT001448,UT002188,UT002916	760.62	[M-H]-	9547053	C43H88NO7P	51.876666666666665
UT55869097	UT_000	UT001344,UT002084,UT002813	554.35	[M+CH3COO]-	9827122	C24H50NO7P	2.3700000000000006
UT02248380	UT_000	UT001257,UT001509,UT001998,UT002248,UT002729,UT002974	878.5	[M-H]-	9832667	C50H74NO10P	9.226666666666667
UT30542695	UT_000	UT001299,UT002040,UT002493,UT002768	864.58	[M+CH3COO]-	9940652	C46H80NO8P	16.55
UT76788515	UT_000	UT001286,UT002027,UT002755	778.56	[M+CH3COO]-	10122972	C39H78NO8P	23.423333333333332
UT08005498	UT_000	UT001290,UT002031,UT002759	820.61	[M+CH3COO]-	10147142	C42H84NO8P	35.93000000000001
UT13225513	UT_000	UT002021,UT002749	764.55	[M+CH3COO]-	10169024	C38H76NO8P	19.155
UT84192731	UT_000	UT001069,UT001333,UT001807,UT002073,UT002540,UT002802	778.6	[M+CH3COO]-	10169139	C40H82NO7P	33.211666666666666
UT29478882	UT_000	UT001038,UT001775,UT002509	820.61	[M+CH3COO]-	10190708	C42H84NO8P	35.86333333333334
UT53935775	UT_000	UT001083,UT001347,UT001822,UT002087,UT002554,UT002816	582.38	[M+CH3COO]-	10208382	C26H54NO7P	3.891666666666667
UT32516877	UT_000	UT001264,UT001512,UT002005,UT002251,UT002736,UT002976	761.58	[M+CH3COO]-	12442931	C39H79N2O6P	19.904999999999998
UT73206711	UT_000	UT001266,UT001514,UT002007,UT002252,UT002738,UT002978	789.61	[M+CH3COO]-	13832223	C41H83N2O6P	28.108333333333334
UT77139336	UT_000	UT001268,UT002009,UT002253,UT002740	817.64	[M+CH3COO]-	13832229	C43H87N2O6P	37.5325
UT29257495	UT_000	UT001515,UT002254,UT002979	845.68	[M+CH3COO]-	13832233	C45H91N2O6P	44.48666666666667
UT98541012	UT_000	UT001274,UT002015	873.705	[M+CH3COO]-	13832237	C47H95N2O6P	48.43
UT38381048	UT_000	UT001005,UT001740,UT002476	778.56	[M+CH3COO]-	14818904	C39H78NO8P	22.823333333333334
UT39794413	UT_000	UT001010,UT001746,UT002482	850.56	[M+CH3COO]-	16666986	C45H78NO8P	13.5
UT04341704	UT_000	UT001097	568.4	[M+CH3COO]-	18943343	C26H56NO6P	5.2
UT70755678	UT_000	UT001088,UT001350,UT001827,UT002090,UT002559,UT002819	610.41	[M+CH3COO]-	22472190	C28H58NO7P	6.1000000000000005
UT97478029	UT_000	UT001343,UT002083,UT002812	526.31	[M+CH3COO]-	22472194	C22H46NO7P	1.95
UT31795003	UT_000	UT001079,UT001817,UT002550	540.33	[M+CH3COO]-	22472197	C23H48NO7P	2.223333333333333
UT29770923	UT_000	UT001082,UT001346,UT001820,UT002086,UT002553,UT002815	568.36	[M+CH3COO]-	22472203	C25H52NO7P	2.983333333333333
UT38508717	UT_000	UT001087,UT001826,UT002558	596.39	[M+CH3COO]-	22472205	C27H56NO7P	4.726666666666667
UT79419938	UT_000	UT001094,UT001833,UT002565	638.44	[M+CH3COO]-	22472211	C30H62NO7P	10.653333333333334
UT81403968	UT_000	UT001020,UT001298,UT001756,UT002039,UT002492,UT002767	866.59	[M+CH3COO]-	24778736	C46H82NO8P	18.5
UT89336841	UT_000	UT001310,UT002051,UT002779	876.67	[M+CH3COO]-	24778841	C46H92NO8P	47.86666666666667
UT78297509	UT_000	UT001047,UT001784,UT002517	894.62	[M+CH3COO]-	24778872	C48H86NO8P	26.276666666666667
